CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
277.0,20.0,84.70390141052692,72.2986106162451,4.708,3.0,-0.133,-1.557369419923739
278.0,3.0,103.99887047779475,136.4850431105177,2.332,4.0,0.056,-1.5274830418045071
279,3.0,47.32917012378356,,,1,NaN,-1.502401041258094
280,13.0,54.07669897241951,,,1,NaN,-1.5382368161417799
281.0,17.0,63.85521754636834,64.68087578819281,-0.58,3.0,-0.008,-1.5643383045470758
282,,39.80846147551812,,,1,NaN,-0.33224038212349827
283.0,6.0,20.56191319084565,29.94997529297818,0.963,9.0,0.034,-1.6264045641414961
284.0,9.0,26.93677590773924,33.97519985082565,-4.629,5.0,0.078,-2.676351856277817
285.0,9.0,25.510040734457345,30.439532289862047,-1.576,3.0,0.066,-2.9843356214004118
286.0,6.0,22.576328162906368,28.683650337369016,1.153,5.0,0.066,-2.1274069944358764
287.0,13.0,63.61914377186431,77.4585372149305,0.913,12.0,-0.05,-1.572186197692515
288.0,17.0,55.95163272429535,99.12961699157562,3.821,6.0,0.102,-1.554339717184601
289.0,9.0,23.39781337928296,36.25716294991089,-2.519,7.0,0.077,-2.647544800867969
290.0,9.0,23.191958621770148,34.15483007532894,-0.465,6.0,0.081,-2.754964921858653
291.0,12.0,37.02499188751907,47.035970094355655,0.642,5.0,0.06,-0.38884316575358596
292.0,12.0,33.77206444551399,39.747681994731636,0.904,3.0,0.063,-0.7089387157270751
293.0,15.0,22.53737305191389,30.59313573833104,-0.385,6.0,0.064,-1.5759926537136495
294.0,15.0,21.35620168848999,27.33190792003095,0.417,5.0,0.069,-1.7259039222430101
295.0,15.0,24.009176870336464,33.19606645983429,-0.224,6.0,0.066,-2.515805116478472
296.0,15.0,28.09225061435863,37.04381725279115,0.952,5.0,0.069,-2.50324469114136
297.0,,34.45905647184931,41.386600034570165,-0.541,2.0,0.113,-1.5113940858053052
298.0,56.0,188.94808270876516,180.47718652526407,-1.065,2.0,-0.031,-1.536634403072968
299,,9.04989091562851,,,1,NaN,-1.6197727793624317
300.0,46.0,78.55149873388302,114.00820473644707,0.493,6.0,0.046,-3.120938850555133
301,46.0,42.82689608258147,,,1,NaN,-3.068217683060311
302,,9.803811677640294,,,1,NaN,-3.0096906430612287
303.0,59.0,103.04924444084524,111.03083092308833,-5.794,4.0,0.003,-2.3427403809747243
304.0,,10.051738815790063,10.990171918359914,0.008,2.0,0.057,-1.5389279153187108
305,52.0,42.86538764383703,,,1,NaN,-1.587208540467424
306,52.0,124.31347204189208,,,1,NaN,-1.6042456713900395
307.0,61.0,55.0004502620178,52.91051634597834,0.46,11.0,0.036,-1.565311428541907
308.0,9.0,30.785639435066077,41.83531069829948,-1.561,8.0,0.04,-2.048370487568939
309.0,62.0,47.195157476628886,48.35711573950148,0.228,2.0,0.016,-0.4665852940673194
310.0,9.0,44.81247280063343,54.227725802269205,-2.691,4.0,0.06,-2.1403026546710655
311.0,9.0,26.69868943638749,34.156466624967045,0.394,4.0,0.076,-2.829336814479241
312.0,9.0,27.55231957411219,32.21524084855804,-0.852,4.0,0.056,-2.8952135180678127
313.0,12.0,36.9710317411862,42.06000956326491,-0.63,4.0,0.045,-1.781416620777107
314.0,9.0,27.61617686333946,35.06426179171873,-1.047,5.0,0.058,-2.2849210008299865
315.0,12.0,41.64865381677624,44.14788809453334,0.103,2.0,0.038,-1.3959780098508892
316.0,12.0,10.51378509456026,25.985022382409824,-0.529,6.0,0.142,-1.8417574970489834
317.0,12.0,24.88996180429492,26.046362013654843,-0.428,6.0,0.033,-1.690437021176969
318.0,15.0,25.404057414912547,29.217059420148622,-0.569,4.0,0.05,-1.3584159690628996
319.0,15.0,22.776581492286383,29.845063482600402,-0.378,5.0,0.073,-1.4272498816205672
320.0,12.0,48.3352365678791,57.60715977496753,0.297,4.0,0.055,-0.7617945540077233
321.0,12.0,40.69735152877718,49.491086912774655,0.419,4.0,0.064,-0.9728009365624917
322,20.0,16.426342858429912,,,1,NaN,-1.4355115951391768
323.0,20.0,83.02761939720128,115.24637760604229,4.294,2.0,0.191,-1.5491726192738735
324.0,52.0,98.40988317192944,76.87060145638976,-4.468,3.0,-0.151,-1.577201649899535
325.0,52.0,72.23737293035317,106.28459389803879,9.193,2.0,0.221,-1.5672837197411815
326.0,11.0,22.3758891227598,25.141304841992252,-3.617,3.0,0.052,-2.5533989341861942
327.0,11.0,18.47744791576583,26.773572430146785,-3.204,6.0,0.083,-2.5015966271665993
328.0,11.0,19.448919652751776,28.695420503916868,0.063,16.0,0.014,-2.1292448636987427
329.0,11.0,23.477996889950344,32.4821558747686,-4.617,5.0,0.076,-2.3374350410225633
330.0,11.0,22.488756188704787,29.736121433350142,-2.171,5.0,0.067,-2.7538878996919847
331.0,10.0,26.7420956368323,35.02713412031042,-4.767,5.0,0.065,-2.27124896318434
332.0,11.0,24.22113662061667,30.360600277190752,-1.435,5.0,0.055,-2.7149164528238385
333.0,10.0,25.66739787541642,34.789656308288635,1.21,5.0,0.071,-2.2739590880337643
334.0,20.0,116.11169139888358,113.10992322716115,0.927,2.0,-0.018,-1.5314733546552581
335,20.0,35.5273575694915,,,1,NaN,-1.5682743453306434
336.0,56.0,147.6260296807014,154.62950295425185,5.703,2.0,0.03,-1.5488210188742115
337,56.0,36.8050021736786,,,1,NaN,-1.5311019274753717
338,,10.5134110019439,,,1,NaN,-1.0462479153549564
339,,8.164122661727522,,,1,NaN,-1.2548158038455055
