CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity,AverageLength
165,0.00799975474947616,29.3482065304319,39,-0.118727052599882,34.9158430445146
166,-0.00788715450349721,30.1302367276058,16,-0.16027262147207,33.1248615654203
167,-0.0226966755776239,44.0848211749914,17,0.317524324638071,42.6190885099876
168,0.0185044635912109,18.7652507047566,22,0.526693713878396,31.0600531652283
169,0.00789514997154657,18.6383785325266,42,0.271350983109237,20.1072135962912
170,-0.00744805088570261,22.6699239739992,42,0.159120497889143,25.2674155449156
171,0.0237247085226169,17.3549301192828,24,0.210273463823247,25.2537802425618
172,0.0161502003600237,23.3040613036862,17,0.100147142372532,31.5704221433839
173,0.007015984726151,25.310769401696,34,-0.193914988740666,27.4692132124182
174,0.0388981049074297,16.4682533332005,21,-0.23352300626644,43.763542825591
175,0.0250083565462481,21.838479566504,24,-0.21340159147776,33.0644069310532
176,0.0277957697155398,21.2861365502631,21,0.367003765710455,34.5389292873594
177,0.0278815563814818,19.5538856346904,21,-0.0164287343968735,31.4024707334089
178,0.0597373924674027,11.0852250367127,16,0.711667646553041,30.7912551540132
179,0.0235369903778921,25.3535836755617,15,0.0526818904417824,34.1175149973276
180,0.0315809986543823,27.4628862505422,12,0.620990538346676,34.4081179006863
181,-0.0526093693123324,20.8255814339891,11,0.113866459595761,19.6512968209831
182,0.0238453030248399,14.9863949468802,23,0.649291142827375,24.6214411482628
183,0.0137748030734719,31.0090616696494,19,-0.0221965212043064,40.7820172802344
184,0.152106988889956,5.64207983782328,10,-0.105816709150982,25.900558818897
185,0.0249558254920641,18.055213546911,25,1.09145953510387,39.2787588874928
186,0.0230913658055855,22.9193375600231,21,-0.310231201469766,34.3754943531682
187,0.022722615260136,29.9730858299577,20,0.404541965088201,42.0754544620588
188,0.000117281281542053,33.2807018023088,31,-0.27819670754949,35.27217350864
189,0.0191633282814823,19.5021508460464,30,-0.0333484406747428,34.2309169542976
190,0.0177671678567217,28.5669092564403,20,-0.246821185907462,35.3191053709894
