CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
194.0,24.2641105651855,27.07406838734943,-1.425,6.0,0.034
195.0,20.7275333404541,22.319075902303066,0.12,3.0,0.025
196.0,26.5775833129883,35.40798693436844,0.003,26.0,0.013
197.0,26.2602119445801,37.54125556945801,0.068,25.0,0.017
198.0,28.3888473510742,33.77320098876952,-0.048,10.0,0.023
199.0,25.4705600738525,38.782019076140024,0.111,23.0,0.022
200.0,21.8277187347412,34.910645571621984,-0.051,22.0,0.029
201.0,23.4474792480469,34.457804419777624,-0.272,22.0,0.021
202.0,26.6318588256836,26.338011741638198,-0.464,2.0,-0.007
203.0,28.6079559326172,29.99102687835695,-0.327,2.0,0.031
204.0,25.4477596282959,23.675891558329283,-0.775,6.0,-0.015
205.0,26.0279979705811,34.11195025724523,-0.18,17.0,0.019
206.0,42.1039695739746,50.3649042569674,-0.268,13.0,0.016
207.0,47.3024291992188,57.120936620803114,-0.018,21.0,0.011
208.0,23.5396480560303,31.584618250528976,-0.124,24.0,0.016
209.0,23.7593994140625,27.450073535625766,0.236,13.0,0.015
210.0,22.3001861572266,28.33407826857134,-0.233,22.0,0.015
211.0,21.7618350982666,34.185603332519534,-0.195,35.0,0.015
212.0,24.7039070129395,29.044609069824233,-0.037,9.0,0.024
213.0,17.1937789916992,17.1937789916992,0.0,1.0,0.0
214.0,17.4503707885742,17.4503707885742,0.0,1.0,0.0
215.0,24.8705596923828,28.32179641723634,-0.187,11.0,0.009
216.0,26.3288402557373,41.90758371353149,-0.501,24.0,0.019
217.0,28.5599842071533,41.37468639173005,0.087,19.0,0.02
218.0,28.6903839111328,40.414890925089516,-0.234,21.0,0.019
219.0,10.2392120361328,10.2392120361328,0.0,1.0,0.0
220.0,7.04826211929321,7.04826211929321,0.0,1.0,0.0
221.0,9.8618049621582,9.8618049621582,0.0,1.0,0.0
222.0,13.1274976730347,13.1274976730347,0.0,1.0,0.0
223.0,12.4901514053345,12.4901514053345,0.0,1.0,0.0
224.0,25.0172576904297,30.87323394188514,-0.07,13.0,0.015
225.0,28.3430976867676,37.73272745949881,0.123,14.0,0.029
226.0,22.6386775970459,23.351927439371767,-0.587,3.0,0.011
227.0,21.3832702636719,31.271624388518152,0.025,27.0,0.002
228.0,22.6276168823242,22.6276168823242,0.0,1.0,0.0
230.0,21.8403301239014,21.8403301239014,0.0,1.0,0.0
231.0,19.4277248382568,19.4277248382568,0.0,1.0,0.0
232.0,8.11606979370117,8.11606979370117,0.0,1.0,0.0
233.0,67.1262664794922,73.44073377336774,-0.08,7.0,0.012
234.0,22.410213470459,31.80766657779091,0.468,19.0,0.025
235.0,23.6926956176758,38.62861649886422,0.41,23.0,0.019
236.0,22.9698429107666,23.12817916870118,0.533,5.0,-0.009
238.0,26.1406421661377,29.542861265294693,0.089,17.0,0.006
239.0,15.916036605835,15.916036605835,0.0,1.0,0.0
240.0,25.0974197387695,27.701613426208482,0.385,6.0,0.007
241.0,34.6167831420898,30.886442729404987,1.095,7.0,-0.021
242.0,29.2550716400146,40.821141878763825,0.027,24.0,0.015
