TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
21.0,43.0,2.2455372840013803,3.0,128.50001525878906,73.00000762939453,27.798931121826172,8.277210235595703,42.0,,,,
22.0,6.0,2.3318091225129796,6.0,125.46255493164062,93.96434020996094,52.96551513671875,8.965517044067383,0.0,44.0,14.0,1.13,0.124
22.0,7.0,2.321725395940531,3.0,108.17815399169922,97.66626739501953,30.460636138916016,7.602974891662598,42.0,,,0.696,0.033
22.0,8.0,2.3036114397331664,7.0,129.69615173339844,70.72652435302734,31.218353271484375,8.250564575195312,0.0,,,,
23.0,6.0,2.316215781698348,6.0,127.1869125366211,92.67252349853516,58.614707946777344,9.326351165771484,0.0,44.0,14.0,0.854,0.497
23.0,7.0,2.356194490192345,3.0,109.00001525878906,97.00000762939453,33.941123962402344,7.071068286895752,42.0,,,0.566,0.494
23.0,9.0,2.356194490192345,8.0,133.00001525878906,69.0,33.941123962402344,8.485280990600586,0.0,,,,
24.0,6.0,2.338014620748001,6.0,130.22207641601562,92.71414184570312,62.883548736572266,9.589356422424316,0.0,44.0,14.0,1.283,0.164
24.0,7.0,2.356194490192345,3.0,110.75001525878906,98.75000762939453,36.76955032348633,7.77817440032959,42.0,,,0.433,0.05
24.0,10.0,2.418613326926486,9.0,136.66441345214844,69.11965942382812,36.21275329589844,9.17448616027832,0.0,,,,
25.0,6.0,2.356194490192345,6.0,132.25001525878906,91.25000762939453,69.29645538330078,9.192387580871582,0.0,44.0,14.0,3.407,-0.073
25.0,7.0,2.330559167855351,3.0,110.7095947265625,99.17411804199219,38.93246841430664,7.7212443351745605,42.0,,,2.122,-0.12
25.0,11.0,2.4329663670424404,10.0,139.18234252929688,67.12940979003906,39.806739807128906,9.328010559082031,0.0,,,,
26.0,6.0,2.3688520288003008,6.0,131.99391174316406,90.9809341430664,86.33171844482422,10.417801856994629,0.0,44.0,14.0,,
26.0,7.0,2.376599830201614,3.0,109.06951904296875,100.09325408935547,49.544883728027344,8.137248992919922,42.0,,,,
26.0,12.0,2.574863451505443,11.0,156.28823852539062,53.45294189453125,26.690378189086914,8.590007781982422,0.0,,,0.392,0.415
26.0,13.0,2.2655345611526223,12.0,134.39344787597656,70.32787322998047,21.510196685791016,7.938286781311035,0.0,47.0,40.0,0.648,0.075
27.0,12.0,2.642245954458301,11.0,159.36624145507812,50.75477600097656,28.65131950378418,8.539529800415039,0.0,,,,
27.0,13.0,2.356194490192345,12.0,135.50001525878906,69.00001525878906,24.748737335205078,6.363960266113281,0.0,47.0,40.0,0.424,0.363
27.0,14.0,2.3743742264786345,6.0,116.08857727050781,107.12889099121094,48.126739501953125,8.175375938415527,6.0,48.0,19.0,0.852,0.068
27.0,15.0,2.356194490192345,13.0,107.25001525878906,100.75000762939453,54.44721603393555,8.485280990600586,0.0,,,0.997,0.129
27.0,44.0,2.4539213835007017,6.0,148.24598693847656,71.69078063964844,43.54863739013672,8.113625526428223,6.0,45.0,18.0,0.562,0.369
28.0,13.0,2.356194490192345,12.0,139.00001525878906,66.00000762939453,26.870054244995117,7.071067810058594,0.0,47.0,40.0,0.424,0.565
28.0,14.0,2.372586446438864,6.0,115.85437774658203,107.88285827636719,52.38840866088867,8.855032920837402,6.0,48.0,19.0,1.156,0.468
28.0,15.0,2.341702765962624,13.0,107.96284484863281,100.93533325195312,59.43172836303711,9.0377197265625,0.0,,,1.0,0.444
28.0,16.0,2.697173385625076,14.0,165.05638122558594,48.56840515136719,29.96636962890625,7.437850475311279,0.0,49.0,17.0,0.709,1.046
28.0,44.0,2.450255808576317,6.0,151.29745483398438,69.54693603515625,46.356483459472656,8.394641876220703,6.0,45.0,18.0,0.597,0.762
29.0,13.0,2.4087775406515233,12.0,141.59945678710938,67.11051940917969,28.98847198486328,7.061293601989746,0.0,47.0,40.0,0.801,-0.137
29.0,14.0,2.398422904017186,6.0,116.50989532470703,110.5989990234375,58.16986846923828,9.492652893066406,6.0,48.0,19.0,1.042,0.06
29.0,15.0,2.3932146264523455,13.0,107.7835693359375,104.34384155273438,64.43348693847656,9.526315689086914,0.0,,,1.197,0.002
29.0,16.0,2.7187387320261562,14.0,170.53221130371094,48.460506439208984,33.51311492919922,7.7513322830200195,0.0,49.0,17.0,0.274,0.412
29.0,44.0,2.462930191678167,6.0,155.39312744140625,69.74748229980469,49.341339111328125,8.487212181091309,6.0,45.0,18.0,1.332,1.012
30.0,13.0,2.5652173488791212,12.0,141.55712890625,65.58787536621094,32.992759704589844,7.462148666381836,0.0,47.0,40.0,2.205,-1.922
30.0,14.0,2.44685435265304,6.0,119.72129821777344,107.56556701660156,63.37826156616211,9.730804443359375,6.0,48.0,19.0,,
30.0,15.0,2.44685435265304,13.0,109.74588775634766,102.29508209228516,70.4202880859375,9.34669303894043,0.0,,,-4.488,-0.818
30.0,16.0,2.677945096238595,14.0,173.40000915527344,45.80001449584961,34.882659912109375,7.155416965484619,0.0,49.0,17.0,,
30.0,44.0,2.49809150807632,6.0,163.28001403808594,64.04000854492188,56.0,9.199999809265137,6.0,45.0,18.0,,
31.0,13.0,2.2937757200372313,12.0,126.55351257324219,73.60603332519531,44.01988983154297,7.366054058074951,0.0,47.0,40.0,0.998,-0.206
31.0,15.0,2.553589987559836,13.0,98.57691955566406,107.61538696289062,47.981563568115234,7.21110200881958,0.0,,,,
31.0,17.0,2.78282197786257,14.0,153.0958709716797,52.58903884887695,18.72658348083496,7.7247161865234375,16.0,,,,
31.0,18.0,2.2655345611526223,6.0,154.34426879882812,68.78688049316406,30.472780227661133,8.194360733032227,44.0,,,,
31.0,19.0,2.49809150807632,6.0,132.4199981689453,95.55998992919922,37.999996185302734,8.599998474121094,14.0,50.0,31.0,0.838,0.264
31.0,20.0,2.276364505462511,15.0,135.88633728027344,77.82908630371094,41.10713195800781,6.653828144073486,0.0,,,,
31.0,45.0,2.677945096238595,6.0,184.50003051757812,49.0000114440918,36.671512603759766,7.602630138397217,44.0,46.0,28.0,0.576,0.214
31.0,48.0,2.595937577843458,6.0,98.20596313476562,119.3392333984375,39.44233703613281,7.143581390380859,14.0,,,0.549,-0.14
31.0,49.0,2.7509856180853807,14.0,175.40679931640625,42.27366638183594,24.69434356689453,7.125460624694824,16.0,,,-0.069,0.445
32.0,13.0,2.2896263819008333,12.0,125.6416015625,73.12389373779297,49.011558532714844,7.713911056518555,0.0,47.0,40.0,0.96,0.267
32.0,19.0,2.594803737009357,6.0,135.27584838867188,93.81033325195312,42.18998718261719,9.841853141784668,14.0,50.0,31.0,0.789,0.589
32.0,21.0,2.9229236922766946,16.0,153.82940673828125,49.98234939575195,20.066070556640625,7.917962074279785,0.0,,,,
32.0,22.0,2.2286848672023867,17.0,153.8803253173828,69.06661987304688,33.4138069152832,7.876881122589111,0.0,,,,
32.0,23.0,2.276364438883484,18.0,136.33705139160156,76.21304321289062,45.449039459228516,6.766605854034424,0.0,,,,
32.0,24.0,2.6011730862304447,19.0,95.73529052734375,108.05882263183594,51.62107849121094,7.37443733215332,0.0,51.0,29.0,1.059,0.16
32.0,45.0,2.761086322309779,6.0,185.87930297851562,47.948280334472656,39.5531120300293,7.6135101318359375,44.0,46.0,28.0,0.519,0.302
32.0,48.0,2.6011730862304447,6.0,97.57352447509766,118.95587921142578,42.18865203857422,7.0314412117004395,14.0,,,0.672,0.277
