CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1375,0.014232118614018,11,12,-0.745768249034882,20.9660892486572
1376,-0.0872657895088196,15,7,-0.140066966414452,15.4159908294678
1377,-0.0950403660535812,11.5382852554321,5,0.826204419136047,12.8390274047852
1378,NaN,15.7939682006836,1,NaN,NaN
1379,-0.124359078705311,14,3,-1.91304528713226,14.8325233459473
1380,-0.0105360504239798,14.1421356201172,10,0.255403637886047,15.2273664474487
1381,0.0205902066081762,10.7331266403198,8,0.987691223621368,14.4010219573975
1382,0.0351201705634594,9,2,0.0336100272834301,9.5
1383,-0.0526732392609119,24.1812992095947,14,-0.254805058240891,28.8339023590088
1384,NaN,5.36656284332275,1,NaN,NaN
1385,0.00575473112985492,12.789005279541,11,1.08470749855042,20.0218296051025
1386,-0.112157426774502,7,2,0.0814615860581398,6
1387,0.00416497373953462,16.9705619812012,4,0.845708191394806,16.5726413726807
1388,-0.104770980775356,14.7946729660034,2,-0.12540690600872,12.7995414733887
1389,-0.0113438321277499,8,9,-0.445387095212936,8.12300205230713
1390,0.0476184673607349,11.5352306365967,2,-0.548899352550507,12.4209232330322
1391,-0.0423479080200195,29.2012882232666,14,-1.43863356113434,40.7738647460938
1392,-0.0304832234978676,24,7,-0.599626839160919,17.6072196960449
1393,NaN,8,1,NaN,NaN
1394,0.113479532301426,11,2,-0.78399658203125,13.2306022644043
1395,0.201375380158424,6,3,1.26688635349274,10.9497480392456
1396,NaN,8.22192192077637,1,NaN,NaN
1397,NaN,5,1,NaN,NaN
1398,-0.0254679396748543,31.981201171875,12,-0.0797797292470932,31.7301464080811
1399,-0.0159147940576077,13.3358974456787,27,-0.122948914766312,20.7573871612549
1400,NaN,16.7061157226563,1,NaN,NaN
1401,0,7,3,0.689344644546509,7.79716157913208
1402,-0.0401097200810909,21.5034866333008,11,-0.0526160039007664,24.8007068634033
1403,NaN,11.6592645645142,1,NaN,NaN
1404,0.204059362411499,9,2,-0.495157867670059,12.8000001907349
1405,-0.0263095777481794,18.5436744689941,9,-0.762275993824005,19.8983669281006
1406,-0.0675676017999649,20.1246089935303,7,0.794834673404694,19.0404167175293
1407,0.0426591411232948,8.43299388885498,9,0.0331036597490311,12.432201385498
1408,0.0296555198729038,12.0208148956299,10,0.615496814250946,15.0732145309448
1409,0.0377710647881031,17.1700687408447,2,-0.33636474609375,18.2001266479492
1410,-0.0662920325994492,23.0846252441406,12,-0.228168904781342,19.9492301940918
1411,-0.0146810216829181,14,7,-0.933099627494812,19.7784595489502
1412,NaN,7.15541696548462,1,NaN,NaN
1413,-0.186731025576591,37.7791481018066,2,1.66988122463226,29.6773872375488
1414,-0.0219051837921143,18.6095428466797,6,0.728079915046692,19.2993450164795
1415,NaN,13.7281293869019,1,NaN,NaN
1416,0.0284105744212866,7.15541696548462,4,0.522989928722382,7.9349422454834
1417,-0.0121445711702108,17.6643543243408,28,0.0279432032257318,19.6653480529785
1418,0.0098801851272583,12.7279224395752,12,-0.415118753910065,21.8579196929932
1419,NaN,12.8000011444092,1,NaN,NaN
1420,NaN,12.4787635803223,1,NaN,NaN
1421,NaN,14.3108339309692,1,NaN,NaN
1422,NaN,8,1,NaN,NaN
1423,-0.0148144168779254,21.8818798065186,12,-2.01092529296875,24.9291915893555
1424,-0.0237048920243979,25.9583148956299,7,0.0846761092543602,27.0934886932373
1425,NaN,18.3847751617432,1,NaN,NaN
1426,-0.0235265884548426,14.8642263412476,4,1.02070105075836,11.4177713394165
1427,-0.0177421178668737,13.9143743515015,16,0.746266663074493,16.7018985748291
1428,NaN,14.8492422103882,1,NaN,NaN
1429,NaN,7.07106781005859,1,NaN,NaN
1430,-0.0455758720636368,13.8675050735474,10,1.26104736328125,14.6782627105713
1431,0.0191168785095215,7.07106781005859,2,0.38433837890625,7.27976036071777
1432,0.000340856146067381,20.5060958862305,27,-1.14689433574677,28.5472316741943
1433,-9.99335097731091e-05,12.6908950805664,22,1.19339454174042,22.9431400299072
1434,-0.00757552403956652,10,13,-1.09039461612701,15.7692985534668
1435,0.0492908321321011,6,11,0.298650562763214,8.94007110595703
1436,NaN,11.6417093276978,1,NaN,NaN
1437,0.160034894943237,7,2,-2.41073608398438,9.15685367584229
