ImageNumber,ObjectNumber,Orientation,lable,divideFlag
15,23,12.564535458836824,31.0,False
15,24,12.923356222322012,8.0,False
15,25,5.780203965154813,29.0,False
15,26,12.253476943248192,8.0,False
15,27,9.210918651412957,39.0,True
15,28,9.5437920730428,44.0,False
15,29,12.979715781710102,31.0,False
15,30,17.99452427960661,8.0,False
15,31,-30.345317660733745,44.0,True
15,32,15.170832220560545,8.0,False
15,33,17.698105746351775,39.0,True
15,34,-34.404950793361955,44.0,False
16,1,47.09536622245173,24.0,False
16,2,75.04240508912753,41.0,False
16,3,41.28558936943214,26.0,True
16,4,32.98457876259512,24.0,False
16,5,59.68722993205834,41.0,False
16,6,38.19740137078555,26.0,False
16,7,62.1295920149866,24.0,True
16,8,-19.73784193518308,31.0,True
16,9,-78.04925442292628,26.0,False
16,11,-7.362856718651089,33.0,False
16,12,-9.610905016410648,32.0,False
16,13,-8.298226975759594,35.0,False
16,14,-4.529623681278337,29.0,False
16,15,-1.0750539675096895,35.0,False
16,16,14.443058682736972,42.0,False
16,17,4.988572748269332,33.0,False
16,19,0.9368444198724571,32.0,False
16,20,-0.9010999221443928,31.0,False
16,21,-50.05749727878098,29.0,False
16,22,-50.7650887808039,29.0,False
16,23,-5.932798022707979,43.0,False
16,24,-12.44441330420986,43.0,False
16,25,-55.21424665754869,35.0,False
16,26,22.48788696881397,29.0,False
16,27,10.904189747296838,8.0,False
16,28,10.768532467402435,31.0,False
16,29,14.424795283736833,8.0,False
16,30,12.790497607044928,8.0,True
16,31,13.050301253502552,39.0,False
16,32,14.448983626145145,44.0,False
16,33,10.408250842829126,39.0,False
16,34,16.15331903321011,8.0,False
16,35,14.398421423571074,44.0,False
16,36,16.015410455846844,44.0,False
16,37,-34.82149722202714,44.0,False
16,38,8.873189258642983,8.0,False
16,39,10.566315507661772,39.0,False
16,40,-37.39137372112464,47.0,False
16,41,9.775482295152331,39.0,False
17,1,35.318173072026845,24.0,False
17,2,67.45265366753404,41.0,False
17,3,33.29882236246496,26.0,False
17,4,65.6949104882479,41.0,False
17,5,28.725001708607135,24.0,False
17,6,73.48956152780859,24.0,False
17,7,35.28278034875578,26.0,False
17,8,67.28095322183562,24.0,False
17,9,-26.10764409676693,31.0,False
17,11,-77.89590182788577,26.0,True
17,12,-12.262682377490671,33.0,False
17,13,-12.122601754414186,32.0,False
17,14,-2.3082824880018107,35.0,True
17,15,-4.780382756428909,29.0,False
17,16,-13.391248642027822,31.0,False
17,17,20.00160258570593,42.0,False
17,18,7.277135432780292,33.0,False
17,20,5.789936195045656,32.0,False
17,21,4.410240336743475,31.0,False
17,22,-60.08135343831162,29.0,False
17,24,-59.52239229683696,29.0,False
17,25,-12.08822914088612,43.0,False
17,26,-13.038389016847187,43.0,False
17,27,-65.18344040759159,35.0,False
17,28,31.046620753517743,29.0,False
17,29,3.438169850430669,8.0,False
17,30,4.692039778895837,31.0,False
17,31,2.591748528893484,8.0,True
17,32,11.53861932884575,8.0,True
17,33,10.379711801754272,39.0,False
17,34,13.090429312129933,44.0,False
17,35,13.315163779413778,8.0,False
17,36,13.78554531704452,8.0,False
17,37,6.051521110622008,39.0,False
17,38,14.624735349718703,44.0,False
17,39,-4.188738244943614,39.0,False
17,40,0.921317293747642,8.0,False
17,41,-42.51431980415912,44.0,True
17,42,-40.52047668817634,47.0,False
17,43,-10.131961444128292,39.0,True
18,1,40.06385271620841,24.0,True
18,2,67.62823265073756,41.0,False
18,3,33.171067110097496,26.0,True
18,5,31.549563516257237,24.0,False
18,6,-22.23054441525265,31.0,False
18,7,82.67357840884594,24.0,False
18,8,73.01998727789328,41.0,False
18,10,-79.45412755324364,26.0,False
18,11,-76.98588741787245,26.0,False
18,12,-22.54014334367564,33.0,False
18,13,-24.753247095927527,32.0,False
18,14,-0.3483790946114231,35.0,False
18,15,0.0568619812099403,29.0,False
18,16,-25.719264176536495,31.0,False
18,17,19.553798369693865,42.0,False
18,18,15.374870494931784,33.0,True
18,19,14.65842871156216,35.0,False
18,20,12.978372673934205,32.0,False
18,21,10.75953374313928,31.0,False
18,23,-66.81491121893407,29.0,False
18,24,-70.90344390478668,29.0,False
18,25,-14.822008608186348,43.0,True
18,26,-15.913327558458342,43.0,False
18,27,-73.47705142234906,35.0,False
18,28,31.27448355987756,29.0,False
18,29,12.03152686469818,31.0,False
18,30,11.945734826675078,8.0,False
18,31,10.904267240018408,8.0,False
18,32,10.166033970478049,8.0,False
18,33,13.123969235142177,39.0,False
18,34,12.214397947793996,8.0,False
18,35,15.31492669625906,44.0,False
18,36,17.689927185351323,8.0,False
18,37,13.97575089747192,39.0,False
18,38,15.236907950171522,8.0,False
18,39,11.88600102682101,44.0,False
18,40,2.823251160325002,8.0,True
18,41,-4.13334654644262,39.0,False
18,42,-30.41402870037063,44.0,False
18,43,-35.945088063075566,47.0,True
18,44,0.1202562935608105,8.0,False
18,45,-5.203295278828005,39.0,False
18,46,-41.96821655007096,44.0,False
18,47,-10.484778158113643,39.0,False
19,1,49.472020966858,24.0,False
19,2,71.929231053156,41.0,False
19,3,42.98269942110203,24.0,False
19,4,28.05172953334746,26.0,False
19,6,31.491079257622708,24.0,False
19,7,-22.042347723704356,31.0,False
19,8,78.04717317301422,24.0,False
19,9,43.90228883859415,26.0,False
19,11,-78.50806624321709,26.0,False
19,12,-24.14200279807799,33.0,False
19,13,-26.512562507424025,32.0,False
19,14,-14.80348881102838,35.0,False
19,15,-27.38742018132884,31.0,False
19,16,-4.321726835763454,29.0,False
19,17,23.76101097052417,42.0,False
19,18,19.4587358589197,33.0,False
19,19,28.447539859137493,35.0,False
19,20,21.158179438753976,32.0,False
19,21,20.521973847646727,31.0,False
19,23,-71.12128779824438,29.0,False
19,24,31.280567230825643,33.0,False
19,25,-74.67955335082141,29.0,False
19,26,-23.80498172821516,43.0,False
19,27,-23.919917212546142,43.0,False
19,28,-74.71772948590733,35.0,False
19,29,34.94623089037122,29.0,False
19,30,3.7662187051063936,31.0,False
19,31,4.436851041587295,8.0,False
19,32,5.204748095166256,8.0,False
19,33,-2.911527422379818,8.0,False
19,34,5.491364430448212,39.0,False
19,35,9.820984042936605,44.0,False
19,36,5.973558788871668,8.0,False
19,37,10.732186258600148,39.0,False
19,38,15.558698381525351,8.0,False
19,39,11.498221486397115,8.0,False
19,40,13.265009737477037,44.0,False
19,41,12.541924845456698,8.0,False
19,42,-6.0214750230943865,39.0,False
19,43,-38.77024751565883,47.0,False
19,44,-9.465082301694906,8.0,False
19,45,-40.703133913617954,44.0,False
19,46,-7.406594829177266,39.0,False
19,47,-32.54917336063701,47.0,False
19,48,-35.81484806210492,44.0,False
19,49,-32.842005898960785,39.0,False
