CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
180,0.0215128403791904,15,2,197.170572738409,15.5
181,0.0303507872802317,16,19,20.2878835385369,32.7368421052632
182,0,4,1,230.674399922395,4
183,0.0535915681815306,11,3,151.99512825625,14
184,0.115524530093324,16,4,110.918760612196,19.5
185,0,6,1,169.293836862998,6
186,0.0445104642081742,7,2,162.289462590355,7.5
187,0,5,1,185.198040103175,5
188,0.0109916643663611,20,45,14.4452094741243,28.2444444444444
189,0.0153187443816442,16,42,16.1432170003663,27.9285714285714
190,0,5,1,223.262126771575,5
191,0,20,1,230.607628821384,20
192,0.0351201718859421,9,2,224.131875360884,9.5
193,-0.0235891652680396,11,9,44.0757357010719,10.1111111111111
194,0,12,14,27.7010460668541,12.5714285714286
195,0.00669894602269133,11,24,8.07853741290377,10.9166666666667
196,0.0297524735085614,8,5,37.6582816520456,8.6
197,-0.0196305059427306,18,4,114.393885952446,17.5
198,0.122172097583221,14,5,88.6888938599659,19
199,0,6,1,236.283835623753,6
200,-0.0445104642081742,8,2,233.031831745471,7.5
201,0.202045267856772,12,2,229.106131583334,17
202,0.0192424064625497,12,21,8.69270331831881,20.7619047619048
203,0,12,2,92.2580725391909,12
204,0,4,1,330.385550871314,4
205,0.109464073609311,11,5,94.6521777275595,17
206,0,12,3,153.973162738518,12.3333333333333
207,0.0076658746096613,14,6,-56.3218631035992,14.3333333333333
208,0.0691368574650415,15,7,-48.4408495647993,17.2857142857143
209,0.0268977826885876,21,8,58.0234141423518,26.5
210,0.0392610118854613,8,2,224.54608404058,8.5
211,0,4,1,234.342100441,4
212,0,3,1,233.209924122729,3
213,0,4,1,233.32880966719,4
214,0,4,1,225.706589811043,4
215,0,5,1,-169.284136642879,5
216,0,6,1,96.2539732585626,6
217,0.0770163533955495,5,6,31.7493646182667,7.83333333333333
218,0.0125309795939151,19,34,13.5137072963992,25.7352941176471
219,-0.132028034392371,16,7,63.5931276266589,15.1428571428571
220,0.0082243976559226,12,82,5.87587321790422,20.1829268292683
221,0.00130590795458015,13,106,4.47047331218355,19.8962264150943
222,-0.0421655135227671,19,6,56.1111133025373,14.1666666666667
223,0.0915510240556758,10,8,41.1156335412816,18.75
224,0,3,1,234.31605017985,3
225,0.108273582010855,6,8,48.2769200227412,15.25
226,0.0383186872733447,18,13,-25.7782228128305,32.5384615384615
227,0,15,2,-168.756570470459,15
228,0,15,1,231.814502640315,15
229,0.115524530093324,14,4,112.722178537559,22.5
230,0.0307011345732539,4,50,8.80503013701062,23.26
231,0.0607738522646516,5,2,95.8658012493884,5.5
