TimeStep,Cell_lable,Orientation
17,37,58.6713027954102
17,38,20.5560417175293
17,39,63.4349517822266
17,40,6.00900554656982
17,41,18.4349479675293
17,42,86.054817199707
17,43,43.0908432006836
17,44,3.57633447647095
17,45,85.0302581787109
17,46,13.1340217590332
17,47,87.3974456787109
17,48,77.47119140625
17,49,85.2363510131836
17,50,60.0183601379395
17,51,23.9624900817871
17,52,86.633544921875
17,53,26.5650501251221
17,54,67.3801345825195
18,6,77.0053787231445
18,7,69.775146484375
18,8,78.690071105957
18,12,39.8055686950684
18,23,14.9314184188843
18,24,55.0079803466797
18,25,57.7243537902832
18,26,21.0375118255615
18,27,25.6410064697266
18,28,90
18,29,78.690071105957
18,30,23.6293773651123
18,31,71.5650482177734
18,32,81.2538375854492
18,33,75.9637603759766
18,34,85.8150863647461
18,35,75.9637603759766
18,36,25.3461780548096
18,37,67.0679016113281
18,38,23.1985912322998
18,39,74.2488250732422
18,40,11.3099327087402
18,41,12.5288076400757
18,42,79.8244934082031
18,43,45
18,44,4.51398801803589
18,45,77.47119140625
18,46,14.036244392395
18,47,78.690071105957
18,48,82.8749847412109
18,49,77.0053787231445
18,50,58.6713027954102
18,51,15.5241088867188
18,52,79.1144714355469
18,53,23.6293754577637
18,54,73.3007583618164
18,55,90
18,56,78.690071105957
18,57,33.6900634765625
18,58,33.6900672912598
18,59,90
19,6,87.1375961303711
19,7,65.5560455322266
19,8,79.8753280639648
19,12,33.6900672912598
19,23,24.2277431488037
19,24,55.0079803466797
19,25,57.9946174621582
19,26,18.4349498748779
19,27,26.5650501251221
19,28,3.94518637657166
19,29,63.4349517822266
19,30,23.9624900817871
19,31,74.6237487792969
19,32,87.1375961303711
19,33,85.6012878417969
19,34,1.12330281734467
19,35,81.2538375854492
19,36,26.5650501251221
19,37,71.0753555297852
19,38,21.0375118255615
19,39,73.3007583618164
19,40,28.07248878479
19,41,14.036244392395
19,42,70.2531585693359
19,43,30.9637622833252
19,44,6.07245635986328
19,45,69.6768646240234
19,46,24.145544052124
19,47,86.054817199707
19,48,79.2156982421875
19,49,70.2011260986328
19,50,63.4349517822266
19,51,12.2647733688354
19,52,86.054817199707
19,53,23.1985912322998
19,54,68.1985931396484
19,55,13.3924980163574
19,56,79.6951522827148
19,57,45
19,58,38.1572265625
19,59,8.53076457977295
19,60,7.12501668930054
19,61,30.9637565612793
19,62,54.4623184204102
19,63,84.2894058227539
19,64,74.4758911132813
