CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
118.0,12.4825477600098,16.792902387421698,-0.534,29.0,-0.001
119.0,10.8906869888306,10.8906869888306,0.0,1.0,0.0
120.0,22.327823638916,20.761563301086397,-1.47,4.0,-0.02
121.0,18.3170757293701,25.3957711628505,-0.283,14.0,0.032
122.0,18.2988204956055,29.273983503642825,-0.377,19.0,0.03
123.0,19.3277187347412,23.39474739074706,-0.306,25.0,0.01
124.0,11.2167062759399,11.2167062759399,0.0,1.0,0.0
126.0,16.0549774169922,23.307790347508035,-0.366,14.0,0.033
127.0,11.3002424240112,22.6560677687327,0.373,12.0,0.056
128.0,15.420916557312,20.82168365927304,-0.283,17.0,0.027
129.0,14.3725900650024,14.3725900650024,0.0,1.0,0.0
130.0,15.6189069747925,23.094077885150913,-0.677,16.0,0.034
131.0,18.1275329589844,22.353854846954345,-1.265,20.0,0.001
132.0,15.7898635864258,22.571749866008766,-0.832,16.0,0.034
133.0,16.1561622619629,21.188948186238616,-0.195,15.0,0.03
134.0,8.81210994720459,8.81210994720459,0.0,1.0,0.0
136.0,16.28297996521,21.490217649019677,-0.448,13.0,0.031
137.0,18.1461277008057,21.38285573323568,-1.427,18.0,-0.005
138.0,13.1704063415527,13.1704063415527,0.0,1.0,0.0
139.0,11.9465608596802,15.108479261398324,-0.469,12.0,0.002
140.0,16.4638175964355,23.348568371364046,-1.071,14.0,0.034
141.0,15.3130102157593,18.367699384689335,-0.887,12.0,0.014
142.0,13.4244518280029,21.977990150451657,-1.164,16.0,0.038
143.0,14.0608062744141,19.01022404890794,-0.947,13.0,0.019
144.0,17.9840793609619,25.722790360450738,-0.952,16.0,0.034
145.0,16.1976013183594,24.325177637736008,-0.747,15.0,0.04
146.0,16.7184562683105,26.90597470601399,-0.514,18.0,0.021
147.0,18.3421249389648,26.43650232042586,-0.772,14.0,0.032
148.0,16.7475605010986,23.27507618495397,-0.826,14.0,0.028
149.0,15.3653964996338,18.25791931152346,-0.887,7.0,0.042
150.0,14.9425191879272,13.02712116241454,-1.281,5.0,-0.041
151.0,14.7152738571167,15.826865049508909,-0.422,13.0,-0.012
152.0,14.3631916046143,18.86373653411865,-0.629,15.0,0.027
153.0,13.8759918212891,19.954975068569183,-0.211,16.0,0.03
