ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
25,2,319,1406,90,114,53,76,70.28213166144201,94.05015673981191,3.0009873394453215,354,0.9912375116351249,20.153496341094687,1,0.22688477951635846,0.3332236650437959,57.05559479491333,50.24937810560445,3.605551275463989,2.0004753813789002,2.0,7.068965517241379,7.536565828427346,-44.06606719568716,109.68124086713189,0.9011299435028248,0.16032074128317514,0.009723247570666678,0.05476535580649394,0.05024654888132632,0.009118125585070337,0.006886803495804293,0.024178846173858213,0.03341984538161366,0.027241756373245715,0.00819252868857916,0.008270106051410252,0.005198442240423488,0.018198200043072845,0.01765869660449246,0.02172095360888669,0.017393729402402736,0.007675454886943541,0.007263030692996101,0.007088113917116267,0.004036788799632677,0.011372001215008011,0.012551665709995555,0.012683688693121,0.014515066098382119,0.012041932074387076,0.007243595741221153,0.006233952236316159,0.006606949966683948,0.005742397242526265,0.0032066757502025,70.28213166144201,94.05015673981191,0,120.80475975900623,11.849023115005995,3,3.0,52.054794520547944,22.292439354086518,5,2,2,67.33976862335214,2.798510681569868,nan,106.3660848616568,1,25,0.6330943619005667,24.0,2,2.0955427401592033,1.8548214628439865
25,3,243,600,94,105,70,80,82.03703703703704,92.559670781893,1.7130560666676888,260,0.9612862679846261,17.58969042850512,1,0.405,0.5837520554392849,34.06180684034786,31.144823004794873,4.242640687119285,2.3032724782993896,2.23606797749979,8.48528137423857,9.385787025321322,-44.315142985022256,72.32590180780451,0.9346153846153846,0.31896619522746866,0.011067701596358783,0.11295822909684612,0.08804364463279551,0.014807047743704062,0.0040588259871348585,0.044918926533462876,0.05213551305249483,0.04291737569469305,0.013080447345153918,0.005516911318810817,0.0032606208774179682,0.023224329483465277,0.022006129927570627,0.02629994579175714,0.02392515409199411,0.008173420510164597,0.006030291464307076,0.002507470639232531,0.0029193813465462214,0.008062247887137384,0.009037472174673765,0.010033185893377894,0.01190411450288952,0.013945528211090248,0.0032296272635572985,0.002630775032489452,0.001623485413131463,0.0021225475794870103,0.002372579556306856,82.03703703703704,92.559670781893,0,78.65945839592176,11.849023115005995,2,5.0,75.53191489361703,27.231517591595466,4,3,3,75.48087169519586,3.280711317225556,nan,140.9085195241366,1,25,0.5356728745011513,24.0,3,3.098357791754026,1.0785387064213126
25,4,276,418,86,139,75,101,80.08333333333333,119.72101449275362,2.193034842386624,302,0.9792359361248799,18.746042631630413,1,0.6602870813397129,0.4559891072737018,42.08811243542289,37.8549864614954,4.123105625617661,2.211913538016843,2.0,8.049844718999243,8.532266480328525,-8.600634857651942,87.21320343559643,0.9139072847682119,0.24522966807181085,0.0030603091002902308,0.08735331916580441,0.07269082986575179,0.004211893323474543,0.00030857291888644373,0.041225601955423866,0.04549820893015753,0.03839406685354861,0.002670277429756528,0.0021505293642452516,0.0007230420948179759,0.021792578600162954,0.028137736359361294,0.02498479813050174,0.02412408157808746,0.0020574912233218313,0.0014636407400992115,0.001401856605841829,0.0011088189891451383,0.015272393767437133,0.013984671219127606,0.016667253310569688,0.014202843403967396,0.0163066312798988,0.0015559641681354417,0.0011457362007809369,0.0011315422311158998,0.0009072740277946877,0.0012670919358992708,80.08333333333333,119.72101449275362,0,23.20042329747929,7.802463325820249,6,3.0,55.78947368421053,19.437740038293178,5,4,4,55.577530152837824,3.843325564634014,nan,108.75672374699386,1,25,0.5110261530324376,24.0,4,1.5191309987029769,3.5303530141544
25,5,189,440,72,126,52,104,61.36507936507937,114.48148148148148,1.6408353694425968,207,0.9515933490627969,15.512648837479231,1,0.42954545454545456,0.6094456632414664,28.32287562508471,25.80697580112788,4.47213595499958,2.1594819602887068,2.23606797749979,8.356165589294212,8.705315754092137,-38.26281753965653,62.42640687119285,0.9130434782608695,0.3613247356680867,0.03178438947239941,0.11757105139658289,0.09782107519082464,0.021619978140954583,0.0218590401254359,0.0442269619031284,0.05011162231245416,0.04332094350236698,0.01654264254853892,0.01385833515524447,0.01557953869037361,0.015544558124650986,0.020740130499285747,0.019776357876032397,0.02047123786786915,0.007620205949317334,0.0074635384358586335,0.007110460400905716,0.010294562492597742,0.00810566666673058,0.0023286779401574583,0.007175865675744145,0.005963054327164149,0.009033364420075275,0.00202294273838978,0.004487279678056277,0.0016427772661566328,0.003010905512092739,0.006182529057462841,61.36507936507937,114.48148148148148,0,14.067934012754112,12.645504354693866,6,5.0,84.81012658227849,19.437740038293178,4,5,5,45.45877733829942,10.830667486417687,nan,133.74125060799608,1,25,0.3399009440366452,24.0,5,8.218880534670014,-7.053606237816766
25,6,238,408,79,138,67,104,72.34873949579831,120.74789915966386,2.079876250450513,276,0.9728443059221773,17.407785949022028,1,0.5833333333333334,0.480797835824797,36.89990978054347,33.54101966249684,4.0,2.1523414494255375,2.0,7.906973581204937,8.540871039637793,-9.470621261351361,78.87005768508881,0.8623188405797102,0.267097362273332,0.006872277832224118,0.09953526562457062,0.07476584042240816,0.0026358411318182554,0.00889487331834693,0.036503180089962735,0.05457590782699876,0.034900961855476094,0.0020109578353078488,0.00408743090943728,0.00872442889600234,0.02946647695069106,0.02159466415624381,0.030853521789733176,0.018162894752130548,0.0026611913248948235,0.001270874297818882,0.005514215322369987,0.0073908160619341155,0.013444024809464931,0.015078228949071829,0.012347714739066791,0.01609591196757018,0.009760276944130375,0.0027339250437497607,0.002978617567614603,0.0019774257409739078,0.005625801955698578,0.005685502226289394,72.34873949579831,120.74789915966386,0,142.7316426897666,7.802463325820249,4,6.0,93.18181818181819,12.645504354693866,5,6,6,48.712781338976015,3.611963197022472,nan,115.14737109929945,1,25,0.42304727301996026,24.0,6,1.4869883437245761,3.291677961507176
25,7,238,420,68,155,56,120,61.36974789915966,136.5420168067227,2.2052938272959537,263,0.9802673066664358,17.407785949022028,1,0.5666666666666667,0.4534543141700811,39.69192578090934,35.4400902933387,4.0,2.063674841622868,2.0,7.437706288627308,7.846161852995705,-12.0641815965747,81.21320343559643,0.9049429657794676,0.2392392775139319,0.008014205749122151,0.08553391744648221,0.07085439610386475,0.004608131880744835,0.004176008512860543,0.03703393223723483,0.04724070542707699,0.036451810838192066,0.00369076982981117,0.0033274604137676113,0.003029789850824851,0.025563355749158263,0.024060667885294554,0.027713594155755004,0.0219015637928417,0.003023024738890979,0.0022704312313598274,0.0018799693452159576,0.0026391314283011986,0.014212382811333114,0.015906786312132933,0.014342561635911213,0.01645616161840235,0.014047779311586883,0.0021071772209123097,0.0021636383304929254,0.001396583007944418,0.0015672592682224081,0.002317435151153575,61.36974789915966,136.5420168067227,0,67.98040880544588,13.693860463427828,8,4.0,92.22222222222223,18.008624176723927,9,7,7,30.85764068676961,5.9239638922358475,nan,116.80704103598735,1,25,0.2641762038750952,24.0,7,2.257193786605548,5.477081741787629
25,8,186,400,57,148,41,123,47.784946236559136,134.81720430107526,1.6323981861390768,207,0.9491148896777394,15.389040103942165,1,0.465,0.6125956329106103,27.788526221143698,25.298221281347036,4.242640687119285,2.1592091607724306,2.0,8.049844718999243,8.751441502198006,-26.11746765472578,61.76955262170047,0.8985507246376812,0.37003524268865656,0.008256761879096209,0.12429006337082697,0.10038572290382627,0.008819469053329167,0.00460908470572182,0.04206166730400495,0.05730176927589627,0.04443614384768833,0.007758538185966048,0.00365648688565012,0.0040136111924177825,0.017377924629782767,0.02247217638902171,0.021695577400735966,0.02212269596493196,0.005037305828549525,0.002253771395059096,0.002014067758122561,0.004731307914017757,0.009545971103010862,0.0026322423753604705,0.005652962327496049,0.0064343877530317894,0.011087158540200712,0.001609485909561855,0.001960464895537448,0.0005749613203166574,0.001020316080171473,0.005249234064709551,47.784946236559136,134.81720430107526,0,67.421809051596,13.693860463427828,7,4.0,69.73684210526316,18.080772901092743,9,8,8,21.092717744992616,14.323325391367106,nan,137.2339085129455,1,25,0.15369902361268756,24.0,5,-5.361252593850217,13.282116581777018
25,9,276,440,59,173,48,133,52.56884057971015,152.2536231884058,2.3988134266741317,343,0.982048686105421,18.746042631630413,1,0.6272727272727273,0.41687277087925256,44.83663049190487,39.45883931389772,4.0,2.1337309984789643,2.0,8.884754363719177,8.457426790562533,-4.205199418252717,91.21320343559643,0.8046647230320699,0.22569949540584772,0.01661292898893811,0.07236341830959227,0.06906150489063759,0.02077471405024985,0.009874656736705078,0.033479339332929556,0.03750725466669097,0.03716788981196588,0.019002186891043528,0.013751222572572332,0.0071918008150368825,0.018294906773043802,0.01870723826487483,0.022466745255213038,0.023074164550066077,0.015576016996975622,0.013018155118939152,0.00931434031742283,0.005637261112724474,0.010921097096299296,0.007271012423299337,0.01280090252545705,0.013091262921438066,0.01520212589178696,0.011526652392749815,0.009449578644639694,0.00939594310856818,0.0057505831603395325,0.004606207357855368,52.56884057971015,152.2536231884058,0,141.59777268815392,11.600052138569632,11,5.0,91.91919191919192,16.405709246923106,10,9,9,18.638038375181495,4.906483552195459,nan,116.75607486940032,1,25,0.15963227948549502,24.0,10,2.7929208472686753,-4.034002229654391
25,10,314,369,42,178,33,137,36.894904458598724,157.09872611464968,2.0326062185914,333,0.9782993439312571,19.994929783493642,1,0.8509485094850948,0.4919792091815019,44.39815284778042,40.049968789001575,5.0,2.3883552773771717,2.0,8.0,9.199142310595317,1.7564006450923637,89.55634918610403,0.9429429429429429,0.2492501353159857,0.0017947770143579179,0.08949440584554316,0.07328834705532611,0.004084324030582332,0.0009338727694836954,0.04081757568943485,0.04701872342584018,0.038118316794714245,0.0038235786500696095,0.0009658489133390237,0.0014659875310020912,0.025868549579992527,0.0250667001449559,0.027127184611070356,0.02322672488326589,0.00392638134635994,0.0015062348236456224,0.0005043074120045035,0.0016285097906851992,0.015178281119834644,0.01434488699009113,0.015485166163313954,0.015463541711639137,0.015223188964264556,0.002782172358744265,0.0010389832647893457,0.001112554811966131,0.0005468162885286095,0.0016288892498967594,36.894904458598724,157.09872611464968,0,81.4341068750422,16.405709246923106,9,3.0,54.166666666666664,18.043705502428242,13,10,10,6.960790160159843,3.7669343355921527,nan,106.14156328682385,1,25,0.06558024909949614,24.0,9,2.580523187695711,2.7442110644824425
25,11,267,646,72,176,55,138,63.38202247191011,156.45318352059925,2.4556092716451263,309,0.9834719772708994,18.437867513470433,1,0.413312693498452,0.4072309106937252,44.42199369716819,39.56008088970496,4.0,2.0527203704045296,2.0,7.719753531984981,8.043064128511705,-17.510937281456673,90.76955262170046,0.8640776699029126,0.21722361561935366,0.0042267416298913995,0.0756205699251397,0.06617576537727378,0.007796097476863064,0.0007576315934104985,0.03445315866568126,0.04269587669078422,0.035255458634365966,0.007461360854688729,0.0029711874617340765,0.0006156969506828,0.023530002648936225,0.022880366314626175,0.02626219052621794,0.021995672428817333,0.006581486209622825,0.003958771256352279,0.0010762364959965255,0.000654208607597678,0.014035516994262403,0.014935582966322122,0.015052375275368499,0.016420423678843613,0.014744489342343996,0.004821157287655308,0.004592098211911014,0.0014279129068722678,0.0004794200251377322,0.0006353067462346374,63.38202247191011,156.45318352059925,0,173.72671287591714,7.377757906594466,12,6.0,91.50943396226415,11.600052138569632,9,11,11,29.936122416854527,2.607010637493519,nan,94.52955040102185,1,25,0.31668533585378106,24.0,11,-2.516528252727575,-0.6808744504152457
