ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
16,6,1,54.64942528735632,160.97701149425288,0,6
16,7,1,44.857142857142854,170.42328042328043,0,7
17,1,1,72.05084745762711,101.38135593220339,0,1
17,2,1,57.81222707423581,110.74235807860262,0,2
17,3,1,57.876344086021504,125.51075268817205,0,3
17,4,1,42.97265625,142.41796875,0,4
17,5,1,61.71844660194175,136.83495145631068,0,5
17,6,1,47.58474576271186,153.23305084745763,0,6
17,7,1,52.769911504424776,163.4646017699115,0,7
17,8,1,39.27272727272727,173.3388429752066,0,8
18,1,1,71.87404580152672,97.98473282442748,0,1
18,2,1,56.47104247104247,109.06177606177606,0,2
18,3,1,56.205128205128204,124.58461538461539,0,3
18,4,1,60.96969696969697,133.22510822510822,0,4
18,5,1,40.821917808219176,143.17808219178082,0,5
18,6,1,45.5,154.49615384615385,0,6
18,7,1,51.16599190283401,163.1012145748988,0,7
18,8,1,35.696296296296296,172.22222222222223,0,8
19,1,1,75.87972508591065,95.28178694158076,0,1
19,2,1,59.57761732851986,108.13718411552347,0,2
19,3,1,58.562790697674416,124.6046511627907,0,3
19,4,1,63.948616600790515,132.19762845849803,0,4
19,5,1,42.53605015673981,145.75862068965517,0,5
19,6,1,47.364583333333336,158.0,0,6
19,7,1,53.378181818181815,165.88363636363636,0,7
19,8,1,36.685810810810814,174.5472972972973,0,8
20,1,1,79.875,92.5448717948718,0,1
20,2,1,62.67326732673267,106.88778877887789,0,2
20,3,1,60.983193277310924,124.57563025210084,0,3
20,4,1,66.96071428571429,130.58928571428572,0,4
20,5,1,46.73652694610779,136.67664670658684,0,5
20,6,1,51.246753246753244,150.83766233766235,0,6
20,7,1,41.83720930232558,160.37209302325581,0,7
20,8,1,57.93006993006993,158.2937062937063,0,8
20,9,1,36.98392282958199,176.12861736334406,0,9
20,10,1,47.20987654320987,172.15432098765433,0,10
20,11,1,53.87179487179487,177.83333333333334,0,11
21,1,1,80.96187683284458,91.38123167155425,0,1
21,2,1,63.308411214953274,106.5202492211838,0,2
21,3,1,60.003787878787875,127.1780303030303,0,3
