ImageNumber,ObjectNumber,Orientation,lable,divideFlag
20,3,81.8390558124537,2.0,False
20,4,-88.52589548559938,2.0,False
20,5,-57.828477422074606,3.0,False
20,6,-15.02220602527344,4.0,True
20,7,29.337198423878185,5.0,True
20,8,29.049955114957644,6.0,False
20,9,-28.8871371464665,7.0,False
20,10,56.85795192036298,6.0,False
20,11,61.06127897326645,8.0,False
20,12,81.32263515928992,9.0,False
20,13,-68.27742249100487,10.0,False
20,14,59.67888186846274,10.0,False
20,15,76.22714572539266,12.0,False
20,16,-88.16550829850567,12.0,False
20,17,37.76440993051549,13.0,False
20,18,-88.10758780764036,13.0,False
21,1,65.41571337934033,1.0,False
21,2,78.32727678593483,1.0,False
21,3,81.21896053454472,2.0,False
21,4,-89.24333900858689,2.0,False
21,5,-57.88370694794045,3.0,False
21,6,-16.957492539629207,4.0,False
21,7,-15.221688850355171,4.0,False
21,8,29.36766290777305,5.0,False
21,9,51.73914350841328,5.0,False
21,10,29.82375191975385,6.0,False
21,11,-28.45257273501512,7.0,False
21,12,70.63185026486879,6.0,False
21,13,62.75787651804588,8.0,False
21,14,81.13334928075822,9.0,True
21,15,68.92708174537485,10.0,False
21,16,75.0740781222275,12.0,False
21,17,-84.98572484406158,12.0,False
21,18,36.61976886227175,13.0,False
21,19,-86.79083336750776,13.0,False
22,1,78.49366713845842,1.0,True
22,3,84.31448974505815,2.0,True
22,4,-58.25245996370338,3.0,False
22,5,-16.490165285139962,4.0,False
22,6,-15.368738451106934,4.0,False
22,7,30.51895408959092,5.0,False
22,8,26.67135019196236,6.0,False
22,9,-28.27405744053304,7.0,False
22,10,62.39830200198787,8.0,False
22,11,81.05347877852992,9.0,False
22,12,0.547946892106096,9.0,False
22,13,69.88460124187843,10.0,False
22,14,75.36326182226293,12.0,False
22,15,-86.63512706908381,12.0,False
22,16,35.668659935132986,13.0,False
22,17,-87.0397953174139,13.0,False
23,1,67.96221563358242,1.0,False
23,2,-83.97840940452423,1.0,False
23,3,82.22793368139378,2.0,False
23,4,-88.63636292105926,2.0,False
23,5,-58.37478400327235,3.0,False
23,6,-18.74092808057264,4.0,False
23,7,-20.857092148262023,4.0,False
23,8,31.41241799468659,5.0,False
23,9,26.88033943935553,6.0,False
23,10,-27.292609999850757,7.0,False
23,11,62.78672443834515,8.0,False
23,12,81.4448921843393,9.0,False
23,13,2.6486225877092897,9.0,False
23,14,70.28364190373524,10.0,True
23,15,74.9151507217652,12.0,False
23,16,-85.79903262826834,12.0,False
23,17,35.78103339392449,13.0,False
23,18,-86.85592328278258,13.0,False
24,1,65.85416781292007,1.0,False
24,2,-82.75508414826871,1.0,False
24,3,84.32968713423055,2.0,True
24,4,-57.39227142716047,3.0,False
24,5,-19.513551959943342,4.0,False
24,6,-21.200857735852917,4.0,False
24,7,31.81306975904387,5.0,False
24,8,26.90042915078799,6.0,False
24,9,-27.38252343196765,7.0,False
24,10,63.117299928802815,8.0,True
24,11,81.44841042756427,9.0,False
24,12,-9.348123085853228,9.0,False
24,13,74.31346635940551,10.0,False
24,14,21.61545197125045,10.0,False
24,15,74.84658944600085,12.0,False
24,16,-86.03245458189278,12.0,False
24,17,36.449659697895015,13.0,False
24,18,-87.81928340022742,13.0,False
25,1,66.06131139205682,1.0,False
25,2,-81.57676333041279,1.0,False
25,3,82.68051992439072,2.0,False
25,4,89.76032693750294,2.0,False
25,5,-58.424191800660736,3.0,False
25,6,-20.01934278312935,4.0,False
25,7,-20.563298185331053,4.0,False
25,8,32.530363333626724,5.0,False
25,9,27.342851641696893,6.0,True
25,10,-27.78604762386899,7.0,False
25,11,61.72846636086904,8.0,False
25,12,60.198002129182015,8.0,False
25,13,81.49698853459516,9.0,False
25,14,-5.901820033308106,9.0,False
25,15,70.89438745189759,10.0,False
25,16,74.66397631329265,12.0,False
25,17,-86.00652698807008,12.0,False
25,18,35.28393330605033,13.0,False
25,19,-88.07468562432075,13.0,False
26,1,65.84738402516767,1.0,False
26,2,-79.52693471283094,1.0,False
26,3,82.88285329129272,2.0,False
26,4,89.4086435436011,2.0,False
26,5,-58.2285281953274,3.0,False
26,6,-22.728086338800647,4.0,False
26,7,-20.88412202976956,4.0,False
26,8,32.27290413474954,5.0,False
26,9,29.86232082503461,6.0,False
26,10,-27.21596828505512,7.0,False
26,11,72.5712366653875,6.0,False
26,12,63.59127441540952,8.0,False
26,13,63.34784593895499,8.0,False
26,14,81.7351409657544,9.0,False
26,15,-5.470322388725909,9.0,False
26,16,71.53143853535718,10.0,False
26,17,74.06918828262503,12.0,False
26,18,-86.04164008700116,12.0,False
26,19,37.37944357101467,13.0,False
26,20,-88.75978384247566,13.0,False
27,1,66.09428914109978,1.0,False
27,2,-77.2643616143694,1.0,False
