CellNumber,GrowthRate,BirthLength,LifeHistory
441,0.0415033776069217,15,28
442,0.0455625425087596,13,31
443,NaN,5,1
444,0.0335900261900728,19,26
445,-0.0476550899021624,11,3
446,0.0264977623117635,20,29
447,0.0153307692499587,18,48
448,0.0381908500976888,4,51
449,-0.00864892433878543,36,26
450,0.0276130946628702,28,13
451,0.136501635003919,10,8
452,0.0300889465597166,17,25
453,0.00397521612829532,20,67
454,0.0443338273053225,6,27
455,NaN,32,1
456,NaN,6,1
457,NaN,8,1
458,0.0445946242309055,18,20
459,0.0260366443071635,25,20
460,0.0134340706616387,19,35
461,0.00698095634113628,21,37
462,0.0254395506687999,18,26
463,0.0352578354876665,16,24
464,0.0372354945452347,19,15
465,0.0309361402580063,20,20
466,0.0547818663663944,20,9
467,0.0318776501877442,12,8
468,0.0814631704885237,9,19
469,NaN,7,1
470,0.0340550415843994,21,16
471,0.0209428690234088,28,13
472,-0.0902956157282076,27,12
473,0.0283619646104213,25,24
474,0.0335584136920585,23,21
475,0.0140136981661144,6,12
476,0,4,2
477,0,5,2
478,0.10209514206589,19,9
479,0,13,2
480,0.0107247974584679,20,18
481,0.0324775722391931,19,32
482,0.0176289177438332,20,24
483,0.0455803891984887,5,5
484,NaN,5,1
485,0.0322692605687855,15,3
486,0.137326536083514,11,9
487,0.0953101798043248,10,2
488,-0.22314355131421,5,2
489,-0.405465108108164,6,2
490,0.0287654582298984,22,20
491,-0.154032706791099,24,10
492,0.0329479845557202,21,19
493,0.031304843865101,21,39
494,NaN,10,1
495,0.0279807893967711,24,21
496,0.0194665449219949,29,30
497,0.0459655975156647,18,9
498,0.0286201687281347,13,6
499,0.0325461565213054,39,4
500,0.0276975379291974,19,15
501,NaN,6,1
502,0,6,8
503,0.202732554054082,4,3
504,0.0317056765136875,21,18
505,0.0104081513733725,22,37
506,0.0286259596385665,22,21
507,0.0251045971898618,23,21
508,0,10,5
509,0.0557858878285525,8,5
510,0.0317700599347749,10,4
511,0.0484170205935545,9,36
512,0,7,2
513,0.0277744122089691,17,27
514,0.0226814166417722,17,23
515,-0.287682072451781,4,2
516,0.233577309344208,11,5
517,0,9,2
518,0.111571775657105,8,3
519,0.0236609861188551,20,27
520,0.0257433897705958,19,37
521,0,5,2
522,0.0207294319646593,22,22
523,0.0329479845557202,21,19
524,0.022091637613952,18,21
525,0.0300386930214465,17,21
526,0.0323781915310649,20,20
527,0.0326548147167844,20,19
528,0.0534791318786075,17,17
529,0,6,4
530,0.0754484040778251,12,14
531,NaN,52,1
532,0.202732554054082,4,3
533,-0.22314355131421,5,2
534,0.0371905918857016,12,7
535,0.0371905918857016,20,7
536,0,6,2
537,0.0478032538317204,8,30
538,0.0303869261323258,25,13
539,0.0378834877231447,24,17
540,-0.366204096222703,24,4
541,0.109234475429516,27,7
542,0.0482324113633775,11,6
543,0.0227726544320029,22,25
544,0.0227625130869313,20,23
545,0.030145257102111,22,9
546,0.0127833371509884,22,11
547,-1.06471073699243,29,2
548,0.346573590279973,31,3
549,0.0182321556793954,40,11
550,0.0140896941703278,38,13
551,0.0497218292259239,9,31
552,0.0145570768952714,24,14
553,0.0303635392426705,22,19
554,-0.117783035656384,9,2
555,0,12,7
556,0.8754687373539,5,2
557,0.0221095104609238,20,25
558,-0.458145365937078,15,3
559,0.154150679827258,6,2
560,-0.182321556793955,6,2
561,0.0274366801912256,19,20
562,0.0336357873310352,19,20
563,0.0347531282422191,19,16
564,0.0300286767614533,26,20
565,0.029572162097325,24,23
566,0.0259929130763313,22,24
567,0.031333575283049,20,16
568,0.0326290815068326,20,23
569,0,6,2
570,-0.00485094676770022,10,47
571,-0.0297229119948944,10,13
572,0.129845384837213,8,13
573,0.0325520728343992,23,18
574,0.0313971616275303,17,24
575,NaN,7,1
576,NaN,6,1
577,0.181452746844684,16,3
578,-0.112400101297609,22,10
579,NaN,6,1
580,0.0315594823056457,18,15
581,0.0796259537522864,20,13
582,NaN,6,1
583,-0.0364814305557866,14,20
584,0.0289617934362974,24,15
585,NaN,4,1
586,-0.183258146374831,10,6
587,-0.100335347731076,11,3
588,-0.0800427076735364,13,2
589,0.0367719846879231,31,14
590,0.22314355131421,4,2
591,0.0330070085980926,21,22
592,0.0340330086802659,22,20
593,0.023850888712245,22,18
594,0.0361541253265951,20,14
595,0.0303635392426705,22,19
596,0.027826223857319,20,25
597,0.0287390154550085,18,27
598,0.0277685946510442,19,23
599,0.29389333245106,15,3
600,0,12,2
601,0.03826240694075,62,7
602,-0.0174352771182897,16,34
603,0,7,2
604,0.104025718178832,15,7
605,0.0306948196253509,22,10
606,0.0328317656731863,22,16
607,-0.0267062785249045,8,6
608,0.0667656963122613,7,3
609,0.0253415692567603,12,33
610,0.0140188946044883,17,34
611,0.0998738444243736,9,12
612,0.0213562874306369,25,14
613,0.0441754810467712,14,23
614,0.0287654582298984,22,20
615,0.0305088707352665,19,27
616,0.0293752268278585,20,17
617,-0.0724790400760372,24,18
618,0.0240919043446369,21,21
619,NaN,18,1
620,0.480705583577312,13,3
621,NaN,6,1
622,0.0940983344464527,16,11
623,0.111923157587085,16,6
624,0.0311264806672996,22,21
625,0.0307908556178094,32,23
626,0.0323137942507303,19,13
627,0.0315066900254521,20,23
628,0.0329185757609072,20,18
629,0.0315403332730881,24,7
630,0.0401158678857746,10,17
631,0.0283197737460401,21,21
632,0.0317370920703707,19,22
633,0.0329185757609072,20,18
634,0.0304066871136974,22,28
635,-0.589327498170823,13,3
636,0.0257452488600364,21,23
637,0.0307332892971158,22,25
638,0.0575364144903562,6,6
639,0.0358389709256486,20,23
640,0.0319872519555974,23,24
641,0.0302504124639675,19,28
642,0.0322178508195257,21,21
643,0.0337817834827576,20,20
644,0.0292889552904779,21,23
645,0.0246860077931526,25,11
646,0.0309803602924357,24,22
647,0.0275201405725481,23,13
648,0.0204283621675409,28,22
649,NaN,7,1
650,0.0448857114431322,14,26
651,0.0303123109082175,32,3
652,-0.0940007258491471,8,6
