CellNumber,GrowthRate,BirthLength,LifeHistory
742,-0.04462871,20,6
743,0.043509399,14,20
744,0.101673526,8,14
745,-0.059862773,27,16
746,0.044451763,22,2
747,0.15415068,6,2
748,0.046760581,14,18
749,0.010276712,24,16
750,0.026351678,23,22
751,0.034241451,24,20
752,-0.219722458,21,6
753,0.152921229,27,6
754,0.092998691,6,19
755,0,7,2
756,0.056758403,18,10
757,0.167054085,11,2
758,0.05054261,11,25
759,0.134749125,7,5
760,0.035581638,18,22
761,0.024870276,22,27
762,0.033606548,16,29
763,-0.012351329,14,7
764,-0.122068032,18,10
765,-0.067143376,16,8
766,0,7,4
767,-0.086618866,22,16
768,0.088535303,8,21
769,0.154595328,9,9
770,0.041731274,20,13
771,0.062556181,12,19
772,0,7,2
773,0,4,2
774,-0.026680903,13,4
775,-0.094000726,16,6
776,0.044013054,13,20
777,0.035120172,18,4
778,0.16213999,9,8
779,0,9,3
781,0.613104473,13,2
782,0,5,6
783,-0.002020821,17,31
785,0.031820462,16,29
786,-0.102165125,25,6
787,-0.223143551,5,2
788,0.203962572,10,7
789,0.031159899,21,24
790,0.029182291,20,31
791,-0.07707534,7,3
792,0.026236426,40,11
794,0.063162605,6,27
795,0.200670695,9,2
796,0.223143551,4,2
797,0.287682072,6,2
800,-0.752038698,18,3
801,0.036464311,5,6
802,0.041097439,18,8
803,0.029151585,20,10
804,-0.085137604,5,7
805,-0.135155036,9,4
807,0.049940118,13,24
808,0.098010522,25,5
809,0.15415068,6,2
810,0.034998753,18,20
811,0.030580909,22,18
812,0,8,5
814,0.039749298,18,17
815,0.091160778,5,3
816,0.031585439,17,22
817,0.018243772,18,29
818,0,4,2
819,0.032823738,24,15
820,-0.108273582,22,13
821,0.016826148,16,8
822,0.031266741,20,29
823,0.021660849,21,33
824,0.030596662,21,30
825,-0.111571776,5,3
826,0.133531393,7,2
827,0,6,2
828,0.135155036,4,4
829,0.08268902,6,23
831,0.040773364,18,18
832,-0.135155036,6,4
833,0,5,3
834,0.030120122,17,22
835,0.030282323,18,20
836,0.26949825,7,3
837,0.01139116,24,39
838,0.024331121,20,24
839,0.035594688,11,31
840,0.012340192,20,44
841,0.035960259,18,17
842,0.03697698,24,18
843,0.034055042,24,16
844,0.030355881,20,23
845,0.033323947,19,21
846,0.029574359,9,28
847,0.036592727,6,40
848,0.032572192,23,13
849,0.009578229,27,12
850,0.0336776,22,18
851,0.026071079,23,25
852,0.031139356,26,22
853,0.035144995,24,23
854,0,9,2
855,-0.039414176,62,17
856,0.010981163,16,30
857,0.247312448,10,4
858,0.07472144,9,11
859,0.011434673,12,8
860,0.023784007,16,23
861,0.057798693,7,32
862,0.057268171,14,17
863,0,8,2
864,0.238784494,10,6
865,0.012197541,20,5
866,0.007269826,22,39
867,-0.058051116,17,7
868,0.029003792,11,4
869,0.011112941,44,5
870,0.014056057,17,46
871,0.021020194,23,36
872,0.03042515,23,20
874,0.059285,6,33
875,0.023827545,20,5
876,0.059696123,10,21
877,0.031130394,19,41
878,0.027990256,23,16
879,0.013516805,18,5
880,-0.090397025,11,6
881,0.127236923,7,10
883,-0.064964149,22,21
884,0.031380746,23,17
886,0.291822912,5,4
887,0.182321557,5,2
888,0.039164632,13,24
889,0.034262355,16,23
890,0.029888576,18,26
891,0.02628898,19,22
892,0.02994425,21,19
893,-0.037364813,20,17
894,0.255412812,6,3
895,0.164506752,5,13
898,-0.053242153,11,20
899,0.02767782,33,13
900,0.026795784,44,10
901,0.03077978,22,17
903,0.062581571,15,3
904,0.03098036,24,22
905,0.033687281,21,17
906,0.039261012,16,4
907,0.025268012,20,22
908,0.04765509,10,3
909,0.094144207,15,10
910,0.025576012,18,27
911,0.031266741,15,29
912,0.038303467,17,22
913,0.032216245,18,25
