CellNumber,AverageVelocity,AverageLength,AverageOrientation
55,0.0212194500810738,26.84375,-1.14994755607981
56,0.0708349807144922,28.75,-1.1296565264176
57,-0.121842161679448,36.4615384615385,-1.32910785991328
58,-0.0601721963357061,30.7558139534884,-0.0249016122614587
59,-0.127393573366425,33.2767857142857,-0.152253346530969
60,-0.0231561381825215,33.5789473684211,-0.511460413932433
61,-0.0648690714550157,34.9090909090909,0.470698879066605
62,0.0214584071081095,23.8409090909091,0.191617842478518
63,0.0850791752968256,34.9523809523809,0.0566565803732059
64,0.0577156877673124,19.0722891566265,0.298466238242967
65,-0.0821519081829332,34.8,0.330928154271327
66,-0.116023907708572,17.1,0.211616943038057
67,-0.297222458673195,28.9666666666667,0.821050629347899
68,0.0629717618601587,38.8571428571429,0.756280267110373
69,0.213399701204036,14.1573033707865,0.875380731860755
70,0.193187507044695,31.92,0.0746869623266952
71,-0.0167571587010874,25.9,0.941477017147878
72,0,11,0.770266407454995
73,-0.0228651231579123,41.3589743589744,0.894482157551249
74,-0.0146248426114301,29.2820512820513,0.349956242966846
75,0.0984625820824402,25.9196428571429,0.263267387330497
76,0.00596735197659096,26.2894736842105,-0.264218570218318
77,0.0404908461681601,27,-0.356770185771963
78,0.0909515698253017,32.4,0.576574940385501
79,0.129201493118761,28.2368421052632,0.601930228257301
80,0.00791451207223599,38.6885245901639,-0.281517531820794
81,0.000453980154588862,32.5,-0.263574805607294
82,-0.0236460089424024,24.8823529411765,-0.339023602091376
83,0.206060783029573,31.8064516129032,0.605356139686879
84,0.037881221302501,32.8125,0.641616331167229
85,-0.0282240997980365,25.25,-0.179564005928546
86,-0.0264019917697741,30.6603773584906,-0.386033301930983
87,-0.1628050685531,30.5161290322581,0.840486297939061
88,-0.232409381918037,32.5769230769231,0.22537956441926
89,0.00231384958134467,31.5714285714286,-0.294075929772299
90,0.366700726873298,17.5765765765766,0.142928219620123
91,0.27542708978762,30,0.421779942021146
92,-0.156393982995993,28.1842105263158,0.279091282951556
93,-0.0963655480322084,15.825,0.395916833956086
94,-0.120888293703942,8.3125,-0.292299797953753
95,0.0300478946231578,36.3,-0.608897302593841
96,-0.0793544166285734,34.5142857142857,0.567612102810346
97,0.317971259282454,18.2142857142857,0.255912399071629
98,0.401734880244973,29.1219512195122,0.0283981752617454
99,-0.197307057814713,28.7083333333333,0.384086236345179
100,0.00186203525734404,30.875,-0.526283349784111
101,0,6,-0.294001301773784
102,-0.194018969330364,25.4883720930233,0.676918756039097
103,0.0501959860255223,9.92,-0.561792638448155
104,0.000176468029865751,34.3478260869565,-0.241247328709542
105,-0.223819659604369,27.1111111111111,-0.12140352470078
106,-0.27826615745511,31.6774193548387,0.645691235853056
107,-0.00109645866215286,25.2093023255814,0.492752538353778
108,0.156392270125578,29.28125,-0.2612040971087
109,-0.00832275357004042,29.7741935483871,0.224508132987775
110,0.162698759100266,30.6046511627907,0.205700502483171
111,-0.181964162764141,29.9736842105263,-0.216086013736969
112,0.152289684339767,31.9230769230769,1.16940459520229
113,-0.153390069867953,30.25,0.617850203688698
114,-0.0259031049705945,32.2564102564103,0.106926242532796
115,0.185497675601521,30.9714285714286,0.0600936070669739
116,0.112192202667933,31.0555555555556,1.1789684124333
117,0.110723686439449,29.6111111111111,-0.213867229790687
118,-0.0752387850123469,31.3076923076923,0.819866242423288
119,-0.144522322032022,31.375,-0.132817775004556
120,-0.0529542650550112,33.3658536585366,-0.47049929691545
121,-0.0423526463184105,25.551724137931,0.475652416510833
122,-0.0506268172201561,28,-0.308899771468185
123,0.00816687577145441,21.1517857142857,0.126820607905484
124,-0.22550762066752,25.2549019607843,-0.356379393043479
125,-0.254394315353013,17.9322033898305,0.347409778802423
126,-0.0940283984927273,25.7631578947368,0.435403518667501
127,0.230654017639711,22.4761904761905,0.654957869002308
128,0.0763208551338426,28.6666666666667,-1.06272260201889
129,0.0155332405882946,26.7857142857143,-1.00486022364715
130,0.00792659862203269,26.0526315789474,-0.490211311637199
131,0.0296605137850028,25.8974358974359,-0.525245380421837
132,0.000670168465895975,29.75,-0.0153000738121219
133,0.0488508885094654,28.9487179487179,0.262627924137619
134,0.11193175225524,30.3611111111111,1.39382994013307
135,-0.189517641377478,29.7941176470588,1.01528384906702
136,-0.022044656346092,6,0.460181777951912
137,0,6,0.773542678145256
138,0.49448212261382,21.9016393442623,0.205523138573278
139,0.240623173996604,24.5428571428571,0.297656376886987
140,-0.0490555618680359,24.1428571428571,-0.0979251953236206
141,-0.0133076571274679,11.4642857142857,-0.384170439404038
142,-0.0947868026242956,32,-0.422599028967041
143,0.00148613639300727,26.8387096774194,1.0012216020264
144,-0.161934391185109,27.6857142857143,0.877762603311941
145,0.101114949959107,24.9756097560976,-0.898182707591018
