ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
17,1,219,588,106,40,64,26,84.35159817351598,32.013698630136986,3.246810649444035,282,0.9915332776296086,16.698486766680407,1,0.37244897959183676,0.30799455464741504,48.17118172668993,41.97618372363071,3.0,1.7200057126273487,2.0,6.5330188663375,6.255164622975403,78.01082438363152,94.52691193458118,0.776595744680851,84.35159817351598,32.013698630136986,0,0.0,14.48924741347342,2,0.0,0.0,0.0,0,1,26.570027986329226,1.137133683664756,nan,48.14163195738745,1,17,0.5519137367392879,16.0,1,0.8590608600831473,0.7450419137190742
17,2,243,630,114,52,72,37,93.4320987654321,43.30452674897119,3.141333481800255,300,0.9905092651608538,17.58969042850512,1,0.38571428571428573,0.3183361479427882,49.3240398688263,43.01162633521314,3.605551275463989,1.8095483787929634,2.0,6.740748137999272,6.779390676569817,75.12347316228791,97.94112549695427,0.81,93.4320987654321,43.30452674897119,0,0.0,14.48924741347342,1,0.0,0.0,0.0,0,2,13.258886162528073,3.1225643260425597,nan,48.56811363299744,1,17,0.27299569966250276,16.0,2,-3.119937433662926,0.12805616073589476
18,1,224,602,106,41,63,27,83.98214285714286,33.30357142857143,3.367143806097929,290,0.9922720901362488,16.88803298257901,1,0.37209302325581395,0.2969876125245945,50.066377763307266,43.41658669218482,3.1622776601683795,1.7071129696519747,2.0,6.319321987532068,6.212287142378597,77.31141344072128,97.35533905932738,0.7724137931034483,83.98214285714286,33.30357142857143,0,0.0,13.463832520997675,2,0.0,1.8018018018018018,0.0,0,1,26.15942824810134,1.3417410580799365,nan,49.48337301546739,1,18,0.5286508710698539,17.0,1,-0.36945531637312,1.2898727984344447
18,2,243,675,114,53,69,38,91.80246913580247,44.26337448559671,3.3253895164760463,296,0.9919522108227158,17.58969042850512,1,0.36,0.3007166514014008,51.10390889185872,45.35416188179427,3.1622776601683795,1.7665446893182286,2.0,6.350780565655174,6.470411078457821,75.36542017988683,100.76955262170048,0.8209459459459459,91.80246913580247,44.26337448559671,0,0.0,13.463832520997675,1,0.0,1.7391304347826086,0.0,0,2,14.58922622233452,1.8907886481039302,nan,50.458902281101366,1,18,0.28913086814809086,17.0,2,-1.6296296296296333,0.9588477366255148
19,1,233,752,109,45,62,29,84.96995708154506,35.90557939914163,3.936239460074357,307,0.9941283335549064,17.22396045987371,1,0.3098404255319149,0.25404958467163724,55.0205785796711,48.08326112068523,3.0,1.6267799851406077,1.4142135623730951,6.1371650669470865,5.953637570333341,76.47855075319478,107.35533905932738,0.758957654723127,84.96995708154506,35.90557939914163,0,0.0,10.53633689579148,2,0.0,0.0,0.0,0,1,23.98890804709102,2.783203625472302,nan,52.2665766409397,1,19,0.4589722455306329,18.0,1,0.9878142244022001,2.602007970570199
19,2,260,784,113,55,64,39,88.87307692307692,45.69230769230769,3.715797291002069,322,0.9934216437958673,18.19456736586892,1,0.33163265306122447,0.2691212468509879,56.325506778538525,49.72926703662542,3.0,1.7349283349927087,2.0,6.314817739010611,6.450054519193876,75.20591042341313,110.18376618407356,0.8074534161490683,88.87307692307692,45.69230769230769,0,0.0,10.53633689579148,1,0.0,0.0,0.0,0,2,17.271213861945576,3.2593233722995962,nan,53.718225653400964,1,19,0.321514972839616,18.0,2,-2.9293922127255456,1.4289332067109868
20,1,221,800,111,48,61,32,85.79638009049773,39.06334841628959,4.484463851680635,290,0.9954353676807011,16.774562271083887,1,0.27625,0.22299209739983336,56.90765172631757,50.695167422546305,2.8284271247461903,1.5251602116608116,1.4142135623730951,5.439834436381954,5.431157511876538,76.62536124546088,111.59797974644667,0.7620689655172413,85.79638009049773,39.06334841628959,0,0.0,9.777117538138368,2,0.0,0.0,0.0,0,1,21.889229102637227,3.264120119631936,nan,55.53069676057163,1,20,0.39418250408446526,19.0,1,0.8264230089526734,3.157769017147963
20,2,270,867,114,58,63,41,87.68888888888888,48.65555555555556,3.978480855023162,352,0.9938121587174201,18.5411616971131,1,0.31141868512110726,0.2513522212221826,59.544283539588,52.20153254455275,3.1622776601683795,1.7202766356756274,2.0,6.596341554819729,6.613810950428969,74.97991535255231,116.18376618407356,0.7670454545454546,87.68888888888888,48.65555555555556,0,0.0,9.777117538138368,1,0.0,0.0,0.0,0,2,18.42632318437966,3.1911031320465297,nan,56.90932878544749,1,20,0.323783878278521,19.0,2,-1.1841880341880398,2.963247863247865
21,1,300,1218,115,51,57,30,85.18333333333334,39.27,4.685923887486643,407,0.9956431259203841,19.544100476116796,1,0.24630541871921183,0.21340508809168113,68.14222530496514,59.20304046246274,3.0,1.6764463365232007,1.4142135623730951,6.490229342872016,6.353971412399446,75.12966100955776,132.91168824543144,0.7371007371007371,85.18333333333334,39.27,0,0.0,9.042699358433525,2,1.0,1.9607843137254901,0.0,0,1,22.382949822603454,0.6469398762789358,nan,56.177636636850565,1,21,0.39843167428515536,20.0,1,-0.6130467571643976,0.2066515837104106
21,2,289,1083,115,59,58,40,86.16262975778547,48.259515570934255,4.575903796107027,383,0.9951371548214141,19.182445840623714,1,0.26685133887349954,0.21853606294143577,65.994717518455,57.97413216254298,3.0,1.6728780795915592,1.4142135623730951,6.725332614806438,6.500410361965183,74.7175003190485,128.91168824543144,0.7545691906005222,86.16262975778547,48.259515570934255,0,0.0,9.042699358433525,1,1.0,2.0134228187919465,0.0,0,2,19.92638098301546,1.57680518920233,nan,58.486133974649825,1,21,0.3407026525578239,20.0,2,-1.5262591311034157,-0.39603998462130363
