TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
2,46,46,55.5601745827761,412.41040989577,431.525130494861,13,5.54404575662013
2,47,47,88.0626225907441,411.0405716258,772.863807171488,12,4.16430355379482
2,48,48,-82.4647056621704,412.171136899833,787.838635731175,10,4.04919670565148
2,49,49,88.4366833669425,418.540372213134,792.857281637133,10,3.49726786108893
2,50,50,-50.2693320006528,427.975061006691,797.125881453768,11,4.70939809051544
2,51,51,-81.7524302336429,428.1886219091,779.768617205135,14,4.332629040171
2,52,52,-47.3851355422821,437.717066915314,786.094078542107,12,4.54737188906126
2,53,53,-4.60285944353202,495.04,838.33,20,4.64983802819596
2,54,54,30.0339521472247,511.789743450646,208.262864481686,16,5.42198713158221
2,55,55,-8.63207357152115,527.464955592324,209.335663741087,16,6.0177381697084
2,56,56,46.3885253469605,527.522865411833,302.036899148315,16,5.79468689241401
2,57,57,22.9325352277136,528.845176510198,341.290482147126,16,5.88402890779683
2,58,58,65.9269838475148,535.626973617926,315.737900509482,16,5.79369494764842
2,59,59,-11.6948161162748,541.641349349261,349.319620576982,16,6.05927089985172
2,60,60,81.5383956850503,540.05088530703,168.47714660768,14,4.99940919811518
2,61,61,56.0914800066007,544.846101067306,182.693969594553,15,5.2593057708668
2,62,62,60.3209407838233,549.489210609333,174.138305474803,13,4.09499733563406
2,63,63,38.3825296166661,618.72954560452,452.221941409304,14,5.15132252195034
2,64,64,26.6306897145789,632.54,662.83,26,5.169750970137
2,65,65,34.5100646881655,628.756724502102,460.742013339943,12,5.54504829929391
2,66,66,23.3336510200473,663.54,294.83,11,5.31877938682254
2,67,67,11.1799700625919,672.636945704429,421.339488501263,18,5.98239156141693
2,68,68,48.6236984855912,674.459883759838,302.293806182115,15,4.49392350650762
2,69,69,89.2630472194139,676.540082717629,304.342861897806,9,2.83337398588523
2,70,70,24.9352678009787,730.82920297262,300.283392339203,16,5.4571836687771
2,71,71,16.215999337281,729.400370375682,443.310107871226,12,4.12557846460686
2,72,72,7.40582970682115,732.475551751975,435.325829026305,10,4.83800992430172
2,73,73,5.83861345822738,743.590863378055,444.332593811083,12,4.97304440581445
2,74,74,33.6900675259797,740.346624754718,436.468675049056,5,4.14962712376613
2,75,75,-5.68832513095177,785.54,499.33,14,5.47349133196455
2,76,76,7.21100026612775,799.54,498.83,12,5.94232747540319
2,77,77,36.4515555007495,804.645108302525,628.529251202888,14,4.97667408647437
2,78,78,-49.5237568376985,815.159662407929,42.0054336492221,16,5.19769387710086
2,79,79,65.4773650810428,813.085101313147,640.537526347,14,5.10277237843219
2,80,80,-48.991172632892,819.368087648379,49.9526957527656,17,4.77375315429809
2,81,81,-1.32746638910324,829.54,498.83,12,4.99982475611117
2,82,82,-6.97100595837299,841.54,495.83,12,5.13604308322617
2,83,83,-58.0343741963548,856.993593320869,275.746339329409,16,5.5833902631957
2,84,84,64.9815605605244,865.939111499317,290.628905696492,28,5.25399308186828
2,85,85,67.569627464253,881.924875889307,560.249388476319,9,4.76419104570969
2,86,86,69.3099980391386,885.604494302511,569.68331160463,11,5.21334558700088
2,87,87,45.7517281230665,906.323677010538,748.027768854828,10,5.05588576729464
2,88,5,0.415760209738589,71.04,359.83,12,4.4166689280961
2,89,5,19.7153370824658,81.3713263691932,361.800690138276,8,3.62568683186995
2,90,88,58.3415324870845,402.525639705572,770.042878061921,7,4.18146084392273
2,91,89,15.0706927760377,403.54,774.33,4,2.64874783871282
2,92,90,84.8205578410937,404.044083146337,780.920275249043,8,4.20224290053825
2,93,64,23.8366341727767,627.54,660.33,14,5.23560782003194
2,94,64,31.8206934313028,639.46485115886,666.593631357799,11,5.54595606029375
3,2,2,16.9237235261208,34.9744508295919,777.828346567871,26,6.17005547018614
3,3,3,20.2392985196665,56.8238429267069,589.207901107353,13,6.12831172189427
3,4,4,43.166945914041,68.2779367759408,596.71468171156,14,5.67675679428805
3,6,6,14.2265290577986,74.4971218842113,369.33466583195,14,4.45481718469291
3,7,7,9.84379488178453,80.2054813302813,550.357361245766,20,5.84980769620205
3,10,10,37.4476003641758,90.9190273174315,372.442937066301,14,4.69093333176653
3,12,12,22.0120959318922,141.62,500.35,15,5.07361254284869
3,13,13,27.3366020879932,142.890391433253,510.794162026829,12,4.3793027653977
3,14,14,16.0431563325506,156.501292436567,246.192346244248,18,5.54787558736367
3,15,15,33.1741386948258,156.62,507.35,14,4.84427961323836
3,16,16,25.4639087374501,157.168571855452,517.635028768646,15,4.94599794004323
3,17,17,47.939374615678,218.583740084209,235.556176478302,19,5.84456443843637
3,18,18,53.0027773090769,218.821335318998,293.951776310036,17,4.79776730640598
3,19,19,44.9808236388836,223.412893258418,48.8502366620167,17,4.45441670963478
3,20,20,23.9825635776775,225.71354138863,33.2636691946448,14,4.97859246853346
3,21,21,72.7958201846354,225.994482737246,436.520260475531,16,5.47160251828153
3,22,22,40.880663559205,231.087477116921,292.778831547252,19,4.39963246330344
3,23,23,41.1805020457531,230.414463803895,44.8971028235475,13,3.771175870004
3,24,24,31.4034416237572,233.12,305.35,16,5.26843085280308
3,25,25,-31.1660513713713,234.547835524474,59.0912399489904,15,4.86722673392412
3,26,26,53.4701069860741,234.718226793285,451.147621051617,14,5.77310725843337
3,27,27,47.1946044175668,237.046578923655,40.1626774581875,11,4.33286891485205
3,28,28,-50.0452349796512,247.762182617846,47.5834483152866,15,4.90096909810854
3,29,29,40.0095883665686,261.181510532842,367.554426329966,16,6.37036707045519
3,30,30,45.73151185577,260.761961628092,835.699010779549,14,4.58661134266043
3,31,31,43.6124980828739,271.275111253556,847.21201070782,14,4.71512037437789
3,32,32,39.7263342990554,274.12,377.35,15,6.20454403945458
3,33,33,68.5888436924614,334.154507624257,264.03252903365,22,5.90820419498941
3,34,34,-14.2009478035695,337.604720645908,141.227338288653,10,4.49458533230704
3,35,35,-14.6062750425522,342.603840779002,130.723912329806,19,5.21783517098609
3,36,36,21.6412407441545,346.470847514023,548.130358787896,15,5.7927527770171
3,37,37,-25.3012573763182,347.12,138.85,10,4.75672535196354
3,38,38,9.92228496915034,362.033843879159,553.842521190246,16,5.31382281871115
3,39,39,29.422800928702,392.938865599126,582.53988398549,15,5.97921230839126
3,40,40,51.6500184676811,397.227882293734,497.160231694758,16,5.85508206791105
3,41,41,55.7606412091499,395.987978569496,785.044672830826,10,4.21843591836266
3,42,42,39.1908653517642,401.916524505718,419.921569748807,13,6.04635716603484
3,43,43,51.5455607601989,402.836897076156,793.471892121407,10,3.937241796349
3,45,45,41.560065755498,409.414167248552,509.392427903359,16,5.85531986253248
3,46,46,54.5401230270777,410.898217040876,431.720199058144,14,5.80220292550191
3,47,47,86.8982760491541,410.621464957283,773.404108857549,12,4.32891275255118
3,48,48,-86.1060095183248,412.187910647297,788.852308592809,11,3.85531445068536
3,49,49,-89.2737432051581,418.632675232857,792.350080333991,10,3.1987278198724
3,50,50,-50.1854804331704,427.44015218646,797.965939356996,11,4.8051727229381
3,51,51,-81.4221781024506,427.274745508907,780.786609508986,15,4.21702655114491
3,52,52,-45.5083582586044,436.613726259443,786.642921050957,13,4.45409919355099
3,53,53,-4.15533704255072,494.08376962365,838.351314367733,20,5.09999256335282
3,54,54,29.7047001825976,511.367764961895,207.915704566387,16,5.43307058623084
3,55,55,-7.45907543893386,526.62,209.85,16,5.71501568692971
3,56,56,44.3362268511296,525.912940669691,301.858191667865,15,5.79198922535028
3,57,57,23.9112076326329,527.917339791837,341.807087343981,16,5.94537762566875
3,58,58,66.358004023726,534.703930959619,316.251020589565,16,5.95168228957208
3,59,59,-13.1576566243824,541.606873697717,349.236184348743,18,5.49627300081233
3,60,60,81.3802583291468,539.131295201117,169.499876017647,14,5.10694382061982
3,61,61,55.2925308775327,544.208965088839,183.634693346966,14,5.12490401838651
3,62,62,61.8061100236855,549.238646160118,174.822456779955,13,4.17032260817037
3,63,63,42.238182208849,617.413714545048,451.88407133874,13,5.39046940089398
3,65,65,35.9011827934865,627.82680546059,460.755014767706,12,5.95611516418472
3,66,66,25.943001451344,662.170385150746,295.131261600696,11,5.22253462627292
3,67,67,11.6471217844979,672.019058257296,422.339704772879,20,5.54896869464195
3,68,68,44.394548453058,674.169393035646,302.278191128635,14,4.73843834482285
3,70,70,25.6221595679829,729.62,300.35,17,5.06881657261903
