CellLifeId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1997,-0.0290037923298766,12,2,-35.2617306107279,11.5
1998,0.014356859053334,29,6,-30.8316320516344,30.8333333333333
1999,0.0180790222463682,13,12,-15.7828482517314,15.3333333333333
2000,0,14,12,-16.3132357185063,14
2001,0.0162584234299806,13,11,-18.1713345295044,14.9090909090909
2002,0,8,2,-28.6226821122282,8
2003,0.0621795319928247,12,6,-10.6255050532678,17.3333333333333
2004,0,15,1,252.972815205691,15
2005,0,4,1,108.970052024154,4
2006,0.0177978416915049,21,8,45.0924223310041,23.375
2007,-0.106151243706178,11,2,182.537224541339,9.5
2008,0.0428513867568872,17,6,60.3614221518016,21.6666666666667
2009,0.00984963209077422,17,11,17.9920634416905,18.2727272727273
2010,0.00899515182534991,25,11,23.451595299997,26.9090909090909
2011,0,28,4,61.8530784596773,30.25
2012,0.00418138615072434,14,11,21.975444188675,14.9090909090909
2013,0.0125842039259542,13,11,20.7501150443526,15.1818181818182
2014,0,3,1,128.873899697892,3
2015,-0.135155036036055,15,2,109.492365376567,12.5
2016,0,6,1,31.7664532111874,6
2017,0,33,1,30.1445503091377,33
2018,0.0161796678700798,28,8,5.71868088292804,31
2019,-0.0594458239897888,10,4,-15.0929248704786,9.25
2020,0.0632482702841506,13,4,-16.1829126828337,15.5
2021,0.00758564502751552,15,11,3.39224384820576,16.8181818181818
2022,0.0162584234299806,13,11,4.10062470142655,15.7272727272727
2023,0.135155036036055,8,2,60.087273086861,10
2024,0.0743811837714032,16,4,27.8275252077699,16.75
2025,0.00984963209077422,17,11,23.7166454533025,18.1818181818182
2026,0.0110497913208457,15,11,24.210801123459,16.9090909090909
2027,0.105990649982652,14,5,44.3536374229619,18.8
2028,0.0080928116742135,14,11,19.2256875563276,14.9090909090909
2029,0.00779807106917119,28,3,59.168491822879,28.6666666666667
2030,-0.037075211703408,19,2,80.4701033210157,18
2031,-0.0607738522646516,6,2,31.4192026005041,5.5
2032,0.0125842039259542,13,11,18.2983620723352,14.6363636363636
2033,0.00758564502751552,15,11,17.0995088547706,15.7272727272727
2034,0.0110497913208457,15,11,-9.12184366910637,16.4545454545455
2035,0.0125842039259542,13,11,-9.09881942427469,14.9090909090909
2036,0.0152311774715701,14,11,-8.29461978545069,15.9090909090909
2037,0.0128066117374065,17,11,-8.35854645633709,18
2038,0.0135238515948006,16,11,-9.12165061761429,18.4545454545455
2039,0.00888505904193187,19,11,-9.13223615577769,19.9090909090909
2040,0,8,1,-59.6520435151584,8
2041,0,13,1,-61.3972793517806,13
2042,0.0110497913208458,20,11,-9.042040040577,21.9090909090909
2043,0.00888505904193187,19,11,-8.56754947938295,21.0909090909091
2044,0.0135238515948006,16,11,2.74961360532407,19.0909090909091
2045,0.0104151670864642,16,11,3.19428106678364,17.2727272727273
2046,0.00888505904193187,19,11,-6.30007613775453,20.5454545454545
2047,0,6,1,-31.4662628202848,6
2048,0.130619258867138,5,3,-21.9036157617055,8.66666666666667
2049,0.0156260066243697,17,11,-8.22258492405516,19.4545454545455
2050,0.00888505904193187,19,11,-8.81440259433179,19.8181818181818
2051,0.0080928116742135,21,11,-6.02498339449563,22.2727272727273
2052,0.0080928116742135,21,11,-7.13228908462967,22.4545454545455
2053,0,6,1,-96.3141897104569,6
2054,0.0431457809868795,14,3,-66.5861917917287,15.3333333333333
2055,-0.0171024535858063,27,3,-68.0016910253375,25.6666666666667
2056,0,9,1,-59.4560334161745,9
2057,0.0932692979892371,12,4,-31.1414102656788,14.25
2058,0.0263829134095664,11,11,-19.0943579007586,15.9090909090909
2059,0.0284850684391355,10,11,-18.9590731636251,12.3636363636364
2060,0,14,3,-42.3602715611248,14
2061,0.127023342007816,14,4,-34.1102393685069,18.5
2062,0.021535288580001,29,4,127.830321941709,32
2063,0,32,1,251.589642894692,32
2064,0.0280393530517677,15,8,66.9228563368507,17.875
2065,0.00360448141801838,18,10,51.6274941429031,17.8
2066,0.00785220237709222,16,10,19.9385183479855,16.8
2067,0.00834420953026707,15,10,19.6134762671728,16
2068,0.0348112667249982,27,8,41.8896125705101,34
2069,0.0105900199782584,20,6,31.3203507236695,20
2070,0,19,5,35.8083414421624,19.2
2071,0.0114988119144919,28,4,80.5520725759498,28.5
2072,0,32,1,157.27086659034,32
2073,0.0632720369798097,12,10,27.0606729502921,19.3
2074,-0.0229678149349417,14,7,36.7047794598377,13
2075,0.00785220237709222,16,10,23.234946467018,17.2
2076,0.0102767119884839,12,10,6.56723274548597,12.7
2077,-0.0121547704529303,12,10,6.41423074428106,10.6
2078,0.0140872729111471,17,10,19.5727005184672,19.2
2079,0.00360448141801838,18,10,18.9628957628118,17.9
2080,0,5,5,-7.99038302815342,4.4
2081,0.004041641454429,16,10,6.19712011960827,16.7
2082,0.00741504234068161,17,10,5.36008307277221,18
2083,0.0181289143655761,16,10,7.54626297745619,19.2
2084,0.00878004297148553,18,8,8.34201249885148,18.125
2085,0,15,10,-6.07933638523418,14.2
2086,0.0216948266956419,13,10,-6.35303978817519,16.5
2087,0.00927134392251897,15,9,5.54050641313161,15.5555555555556
2088,0.0129437342960639,14,10,5.84151740314217,16.5
2089,0.027031007207211,8,10,34.34183569856,10.5
2090,0.00635401198695501,20,10,5.7898716547102,20.8
2091,0.00890209284163485,21,10,6.63161886465936,22.7
2092,0,4,3,23.7115583714193,4.33333333333333
2093,0.0653886168674484,6,10,13.0140429363697,14.1
2094,0.0121547704529303,10,10,27.7622025191602,12.2
2095,0.0121547704529303,30,10,8.22465594056864,30.7
2096,0.0277550703289934,22,9,8.06688781407331,29.3333333333333
2097,0.0140872729111471,17,10,7.02927293311949,18.8
2098,0.00878004297148553,18,8,6.98994089585303,19.375
2099,0,4,1,59.2523839230217,4
2100,-0.0445104642081742,8,2,50.7762789160041,7.5
2101,-0.0445104642081742,8,2,48.6732844698684,7.5
2102,0.224800202595218,8,3,31.3999147727996,13
2103,0.188288413419379,18,3,-31.0550313498717,26.6666666666667
2104,-0.0513835599424194,14,2,-52.1074944054706,13
2105,0.0140872729111471,17,10,-12.2903141473527,19.3
2106,0.00702403437718842,18,10,-12.8099963414185,18.8
2107,0,15,2,-53.1031927397088,15
2108,0.0178842657729786,13,10,-10.7206890084199,15.2
2109,0,7,1,-58.3215143306693,7
2110,0.0462098120373297,9,10,-11.8187767477189,16.7
2111,-0.00360448141801838,19,10,-13.3639608557691,17.7
2112,0.0191788048301187,12,10,-12.9287956350769,15.1
2113,0.0167542952187271,14,10,-11.0227002007067,16.5
2114,0,4,1,-56.9278577430903,4
2115,0,10,1,-58.1299632338784,10
2116,0.00834420953026707,15,10,-12.4491114177603,16.4
2117,0.00381056092266322,17,10,-13.1330963428801,17.2
2118,0.0191788048301187,18,10,-8.2094837206807,22.8
2119,0,5,1,-51.6348516421084,5
2120,0.00741358952273946,19,9,-11.4080388422463,20.4444444444444
2121,0.0102767119884839,18,10,-10.129576220283,20.1
2122,0.0404090535713544,12,10,3.7847734186885,18
2123,0.00890209284163485,14,10,-5.34142015079824,15.5
2124,0.0167542952187271,14,10,-7.48464524381931,16.2
2125,0.00741504234068161,17,10,-8.43541800254386,18.3
2126,0,4,1,-26.9077552931453,4
2127,0.035375216737478,10,10,-5.87251418675745,13.8
2128,0.0114566837951106,16,10,-18.5673977627842,17.5
2129,0.0135053005032559,15,9,-21.0048079112371,16.1111111111111
2130,0,3,1,-65.9422263068357,3
2131,0,6,1,-102.104556081758,6
2132,0,5,1,-103.821108074725,5
2133,0,5,1,-105.553422139225,5
2134,0,8,1,225.612113077215,8
2135,0.0213097831445764,12,9,59.3847408809405,13.6666666666667
2136,0.00872466930788025,16,9,58.2311496020759,16.1111111111111
2137,0,12,1,250.144624989209,12
2138,0,7,1,250.729040539218,7
2139,0.091001090002613,15,7,71.1916272750217,32
