TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
14,10,2,0.249061801846115,146.32,64.63,29,7.5255705858978,4,16,17,0.023,0.002
14,11,7,-0.0103538975208656,149.814823143737,0.63002680055904,10,2.49543987928551,0,0,0,,
14,12,2,0.137525367371515,133.82,70.63,30,7.50047247276547,5,18,19,0.043,-2.298
14,13,2,0.424057980749268,162.525731191449,78.1742866286088,31,7.74997194044618,5,22,23,0.021,-1.406
15,1,1,0.917495855324059,190.276094721674,28.8429589671012,13,6.10410482976817,0,0,0,0.0,-0.122
15,3,3,0.667489317001584,220.472689146391,89.5495080520866,11,5.5339832412134,0,0,0,0.058,-0.508
15,8,6,0.970064992234261,257.077713781553,60.8468918399118,5,3.00709166420441,0,0,0,0.0,-0.545
15,9,2,0.16289263859389,119.073381151893,59.3210866139184,28,8.10697857839431,4,20,21,0.068,0.613
15,10,2,0.253688498868054,146.705488050278,63.7560033582373,30,7.60210013467129,4,16,17,0.083,3.104
15,12,2,0.146792954286579,130.653133167683,69.2453773763923,32,7.43753714981261,5,18,19,0.04,-2.948
15,13,2,0.411952071343471,160.538170481041,77.4401994263287,32,7.84723224475183,5,22,23,0.079,-0.713
15,14,8,-0.963146743952402,255.488889622221,66.4358600667112,9,5.39417446700059,0,0,0,-0.27,0.04
16,1,1,0.870239019192118,190.057678080231,29.0577584794444,13,6.6370881053519,0,0,0,0.0,-0.833
16,3,3,0.738663402740327,219.543349862717,89.809684575101,12,5.74643543210746,0,0,0,0.0,-0.66
16,8,6,1.34703633921631,256.4410887415,59.9837401378852,5,3.35237071414714,0,0,0,,
16,9,2,0.16981188991867,119.795501526178,59.9328082871886,31,7.80940386334918,4,20,21,0.042,-0.637
16,10,2,0.324646634426269,151.039486949393,65.4661182500102,34,7.64407989176125,4,16,17,0.056,-0.222
16,12,2,0.163014537579367,125.798853244022,68.9333712638514,34,8.10000487736636,5,18,19,0.056,-1.459
16,13,2,0.396584541721263,159.573135115839,76.9788071693643,36,7.6852841281822,5,22,23,0.036,-1.237
16,14,8,0.110657221173896,255.864709336684,65.2160788151871,6,3.61783290742004,0,0,0,0.0,-0.808
17,1,1,0.868270696205719,188.676926330331,29.8083936531364,13,6.4070680632373,0,0,0,0.0,0.104
17,3,3,0.738663402740327,218.163349862717,90.559684575101,12,5.74643543210746,0,0,0,0.0,0.132
17,9,2,0.183624157212123,118.591296997052,60.1984057991296,33,7.61880756726283,4,20,21,0.076,0.583
17,10,2,0.350689971918863,150.202204983584,66.5486591170072,37,7.38076462730977,4,16,17,0.085,0.13
17,12,2,0.168221074536708,122.92334351474,69.5992276848013,37,7.7031162253922,5,18,19,0.085,-0.831
17,13,2,0.40606243346413,157.238155881575,77.5331608586218,38,7.47466298375043,5,22,23,0.067,-1.43
17,14,8,-1.44529498347338,255.168095818293,63.0147278168832,6,4.19285268493438,0,0,0,0.103,0.363
18,1,1,0.842102341896956,189.127052071237,27.8969776458005,13,6.34294508963253,0,0,0,0.0,0.247
18,3,3,0.687118778828288,219.029382201389,88.9736946142542,12,5.56883294395568,0,0,0,-0.058,0.205
18,9,2,0.301729138442419,120.257171673096,58.815175934159,37,7.65110908097824,4,20,21,0.035,0.175
18,10,2,0.427939873070846,151.297590019368,64.5174126463214,42,7.46106133784659,4,16,17,0.046,-0.395
18,12,2,0.333674943293377,121.96,68.77,42,7.75274658892797,5,18,19,0.031,1.083
18,13,2,0.441671047800609,156.173725376471,74.8179806824347,42,7.41722143130969,5,22,23,0.031,0.817
