TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
10,5,1,1.03967198615377,102.94562937794,130.352132488462,27,7.51288831041994,1,0,0
11,2,2,1.18976443339618,83.3792965229057,124.609696386678,42,8.2119610419343,0,8,9
11,4,1,0.716299037394708,89.2,107.68,26,7.63005233636875,1,28,29
11,5,1,1.08804169593731,103.525029853991,129.96925061804,29,7.41104446405206,1,0,0
11,6,3,1.13292167892137,91.0823373152334,123.151188143407,22,6.76668993790029,3,34,35
11,7,3,0.997375242961285,101.779975037218,141.451254549529,21,7.53373086728546,3,10,11
12,2,2,1.15469621561845,84.6033194673045,125.600491039738,46,8.35666630120496,0,8,9
12,4,1,0.621377487585374,89.39,106.09,28,7.86135670083358,1,28,29
12,5,1,1.06806632010286,105.087225451487,129.410954993181,32,7.4049804847988,1,0,0
12,6,3,1.15121860925025,91.2730515333822,122.040744310785,23,6.63474406504772,3,34,35
12,7,3,1.03555574200656,102.704903031701,141.414951023918,24,7.21509510569643,3,10,11
13,4,1,0.693303586720432,86.94,103.62,33,7.45018323943587,1,28,29
13,5,1,1.01978637550103,103.865998099359,129.858226014771,34,7.38333774491673,1,0,0
13,6,3,1.09977266081957,87.5488957831383,118.573798716053,30,6.6965412530055,3,34,35
13,7,3,1.00689486122641,103.250168026563,144.464655710039,32,7.36998271176576,3,10,11
13,8,2,1.25001782114225,76.8333570362128,113.460810331051,31,8.03687684809146,2,12,13
13,9,2,0.975432303316044,91.1980833915594,140.961215274278,31,7.84475733878083,2,14,15
14,4,1,0.724532697639558,87.5213927973622,102.475595387506,36,7.73504882814054,1,28,29
14,5,1,1.03232570007512,105.862835174838,130.164341191015,34,7.52076367952943,1,0,0
14,6,3,1.00208470905272,87.7687022357103,116.11927345544,33,6.75308169711263,3,34,35
14,7,3,0.971915609565259,105.495157285827,144.718875621791,35,7.50887129581627,3,10,11
14,8,2,1.14305940724802,76.3251397499211,112.472219011084,35,7.82646755768721,2,12,13
14,9,2,0.977671917762307,93.9959235857958,141.214878087471,35,8.00109557169823,2,14,15
15,4,1,0.859509125118001,89.7575222064388,104.057190604577,38,7.68111846392395,1,28,29
15,5,1,1.05532677531482,108.81849760107,133.521441043031,33,7.72200446795392,1,0,0
15,6,3,0.933393130588544,85.3006228020275,111.605733346864,36,6.9487311086303,3,34,35
15,7,3,0.99746705103022,106.351166122337,143.401265851073,40,6.99928244806246,3,10,11
15,8,2,1.03186016373718,76.1417448472335,112.223223238708,38,8.27427766288065,2,12,13
15,9,2,1.01578368371243,96.6501062219857,143.736954045523,40,7.85251297537413,2,14,15
16,4,1,0.966419132097273,91.2258751463416,106.438571916936,40,7.77417719449847,1,28,29
16,5,1,1.13087733841619,110.844673832717,135.610540000986,34,7.4078076083891,1,0,0
16,6,3,0.993589171647743,83.6720100684383,109.395685692135,41,6.81054193929478,3,34,35
16,8,2,1.04422638489985,76.8967494471127,112.784838894882,42,8.12180346617134,2,12,13
16,9,2,1.05789554143405,99.3840286766197,146.7763692041,43,7.9584668307882,2,14,15
16,10,3,1.06857334865988,101.133485358066,132.831375199272,20,6.60243770869802,7,0,0
16,11,3,1.04337795271005,111.51,151.35,24,6.90816121250283,7,0,0
17,4,1,0.962141347537099,91.3943266480795,106.223908853255,43,7.63504665811342,1,28,29
17,5,1,1.14823499965259,111.564951083773,136.463979230786,33,7.56742757327647,1,0,0
17,6,3,0.992653834306495,83.1592862068298,109.047729674162,45,6.86253610865095,3,34,35
17,10,3,1.12757833608278,102.152199319669,135.397160581199,21,7.09856023939052,7,0,0
17,11,3,1.00886148224648,113.580474863708,156.263299373258,27,6.87980613573022,7,0,0
17,12,2,1.08394922854036,70.9764398935287,103.737950159367,25,7.78739984762829,8,17,18
17,13,2,1.02426243944802,82.77,123.92,22,8.2143405611908,8,0,0
17,14,2,1.17766239677136,95.3844304461238,139.994627715457,23,7.9902430093776,9,23,24
17,15,2,0.956261659422346,106.861479081957,160.20828919425,26,7.3405945882445,9,21,22
18,4,1,0.913352731948331,85.8584429765099,101.86109531054,34,7.63800215802507,1,28,29
18,5,1,1.36950347787925,109.15,135.25,33,7.51959845981898,1,0,0
18,6,3,1.14295563332898,69.6950681091251,88.9574535482102,30,6.73668051619023,3,34,35
18,10,3,1.3118656484503,94.7166713452505,143.262094046757,31,7.93706347497656,7,0,0
18,11,3,0.616741301223695,116.531306172458,159.552926276995,33,7.51354811217437,7,0,0
18,12,2,1.10001868209538,66.1407785960734,98.7115510264351,34,7.64857908292346,8,17,18
18,13,2,0.970677160664115,86.2373658386046,115.032370410719,31,6.96697469763182,8,0,0
18,14,2,1.35845190777472,100.672460489957,133.960752239146,30,7.14373256417045,9,23,24
18,15,2,0.514973360371689,112.838897089174,167.431408753761,34,7.38246155535948,9,21,22
18,16,4,1.21978288490556,81.4780751845698,126.280487638247,32,7.8104035971075,0,19,20
19,4,1,0.914750226542218,86.6737948736734,102.754994258753,42,7.39466791540961,1,28,29
19,5,1,1.47910247158876,109.57420093693,136.541565419176,33,7.45937140084239,1,0,0
19,6,3,1.19292465826482,68.1052740133205,86.1344715623199,32,7.19017080780632,3,34,35
19,10,3,1.39915418776848,94.592041574166,144.206200881158,34,7.97635775356447,7,0,0
19,11,3,0.454439177414323,117.850520760175,160.899253673648,36,7.43208706992731,7,0,0
19,12,2,1.13659509898412,65.7555872722718,98.7913717688739,37,7.80170437567566,8,17,18
19,13,2,0.880855713445196,85.502603781967,114.153887597415,34,7.20132689801792,8,0,0
19,14,2,1.49498508515317,101.074308444167,134.563607965433,32,7.37127297016371,9,23,24
19,15,2,0.391823547988286,115.416955685636,168.721169916246,37,7.52678405439639,9,21,22
19,16,4,1.26771413968583,82.4207683379454,129.472789447895,35,7.93583073498725,0,19,20
20,4,1,0.902774863355486,88.682807410807,102.567758636425,44,7.51023091465849,1,28,29
20,5,1,-1.55458953967628,112.116206077649,137.7701313271,32,7.29598739586726,1,0,0
20,6,3,1.23192621399791,68.6284345667678,83.9362108365315,36,7.16460930246648,3,34,35
20,10,3,1.50858977233962,95.102901305794,147.863249663843,38,8.0692818892807,7,0,0
20,11,3,0.311404429654308,119.470849990956,162.592754188386,40,7.3871018663699,7,0,0
20,12,2,1.13252466479983,67.2417702816446,98.9065626694806,40,7.79378416964226,8,17,18
20,13,2,0.858412272579465,86.8947771960118,114.21841708873,37,7.37542407523177,8,0,0
20,14,2,-1.50905210992737,104.662657776928,134.241053072351,37,7.21645523577067,9,23,24
20,15,2,0.259212993149835,119.971840041589,170.753296001494,40,7.40558381925106,9,21,22
20,16,4,1.35169528011636,84.1,132.77,39,7.6867626398834,0,19,20
21,4,1,0.98240857917013,90.3224896928404,104.634081703432,48,7.42237902657099,1,28,29
21,5,1,-1.46884205908628,113.701777729279,138.555192835861,32,7.51516866844088,1,0,0
21,6,3,1.21274698611135,70.1317088951597,83.7252239741802,38,7.44421891960831,3,34,35
21,10,3,-1.56288821691864,97.10790802745,155.050031268938,42,7.51782792340093,7,0,0
21,11,3,0.263971249761395,121.247777430614,162.436861140022,43,7.51628971282802,7,0,0
21,13,2,0.976246789239532,88.9057317246009,117.415867372447,41,7.33644945210481,8,0,0
21,14,2,-1.41597278353145,106.760186377198,133.4848583654,40,7.47680179566073,9,23,24
21,17,2,1.28662798901929,63.6601572768284,88.9705388597144,24,7.35246813580357,12,0,0
21,18,2,0.983379471869046,72.8514374003162,108.881319093171,21,7.67008273878344,12,36,37
21,19,4,1.20221094579813,83.8808911503476,126.55686325422,22,7.54496346730787,16,48,49
21,20,4,-1.53235034147328,88.6384365148929,145.550738955866,22,7.62216968937286,16,38,39
21,21,2,0.245130729790249,110.478658425718,168.535052803673,21,7.27225590572149,15,44,45
21,22,2,0.240121980576948,132.362178890975,174.021308972522,25,6.98611600568184,15,46,47
22,4,1,0.992650763635533,89.29,103.32,51,7.61053614126337,1,28,29
22,5,1,-1.44347705063767,113.4169755764,139.828094156183,34,7.05869821342005,1,0,0
22,6,3,1.22362907510196,68.3198298571232,78.9901177143839,42,7.37276229789877,3,34,35
22,10,3,1.56156971448424,95.7900425648854,158.8292264814,47,7.58409746643431,7,0,0
22,11,3,0.195369146686763,122.192935663876,163.310488037217,48,7.29227258038383,7,0,0
22,13,2,0.999192256399304,88.4400262311396,116.628991946523,45,7.33217434916064,8,0,0
22,17,2,1.28743493639342,62.3498183929236,85.739376845616,27,7.2884195728186,12,0,0
22,18,2,0.962652651248158,72.2732624800378,107.766662395483,23,7.77898318704931,12,36,37
22,19,4,1.23605167234902,84.1534888816131,126.512016889798,24,7.66994364219905,16,48,49
22,20,4,-1.39420255958457,87.957901240939,148.923390869803,26,7.57797072897514,16,38,39
22,21,2,0.178609954190396,111.20116909345,169.812045800756,22,7.54026958497741,15,44,45
22,22,2,0.18097239684776,135.20000691243,173.311834569942,26,7.32901760654213,15,46,47
22,23,2,-1.30937021693122,108.419229234141,122.836988814784,23,7.41078810712497,14,42,43
22,24,2,-1.45196651507111,104.908550352564,143.827051958103,22,6.77296652928455,14,50,51
23,5,1,-1.50207237131627,115.258669871251,137.092360561735,32,7.42409834616515,1,0,0
23,6,3,1.26858523422831,57.25797890224,75.536447729942,34,7.46571038659566,3,34,35
23,10,3,-1.31289008961726,94.8340652366346,157.979008638172,33,7.11734087553737,7,0,0
23,11,3,0.493727852980004,130.979132273577,161.910858461581,34,7.389676424934,7,0,0
23,17,2,1.27577990352361,67.3569790983065,80.2137764655991,26,7.04418698555108,12,0,0
23,18,2,0.995658266192045,71.1593488591562,104.486367361211,31,7.89017101204393,12,36,37
23,19,4,1.15434893594702,86.8182023169105,131.696771057871,32,7.78210640266422,16,48,49
23,20,4,1.52128019630096,84.6664777238068,153.640108735208,32,7.8389292445266,16,38,39
23,21,2,-0.858141727273221,112.773551157872,172.86553019485,31,7.18509972661566,15,44,45
23,22,2,0.178441400967596,137.19,173.09,34,7.61376632856901,15,46,47
23,23,2,-1.52532783121526,108.735452830392,124.591033513971,31,7.22791762645901,14,42,43
23,24,2,-1.22352764789673,104.360165401552,153.619847114106,28,7.16481358907367,14,50,51
23,27,7,1.04562311434802,57.7573814438443,54.8406814410157,31,7.66121888424361,0,0,0
23,28,1,1.10720435456624,77.677513941844,84.5371016279637,35,6.9532069191839,4,0,0
23,29,1,1.08762301426008,95.6327625448079,112.357704221056,32,7.18452655760629,4,0,0
23,30,8,0.962333124790958,80.4939327090782,103.465539859759,29,7.41595465412515,0,0,0
23,31,9,1.1218237386502,95.2891064842243,130.024040174677,32,7.09664136755844,0,0,0
23,32,10,-0.860551277304346,106.721120648485,166.657807672131,32,7.13255525466298,0,0,0
23,33,11,0.707399670609815,91.7152106317788,182.230081439022,32,8.18006099263627,0,40,41
24,5,1,-1.52988135178265,116.26090356045,135.37083690083,32,7.61857314137649,1,0,0
24,10,3,-1.30268977081684,95.5206319039169,159.14081967711,37,7.26358849962944,7,0,0
24,11,3,0.476608660047048,131.761231575514,161.258555869203,36,7.51837901367277,7,0,0
24,17,2,1.26629166088259,64.7430022095042,71.5199103327396,29,6.8917921457687,12,0,0
24,18,2,1.01481672597922,70.4459242422861,101.661663415604,35,7.81401024449503,12,36,37
24,19,4,1.20571237808435,87.3188593113398,130.905541567556,36,7.60460080880796,16,48,49
24,20,4,1.49747457816928,84.7213434176836,153.906628034517,34,7.91122098114276,16,38,39
24,21,2,-0.983997100338872,112.136358602616,174.146849262284,35,7.11906030686361,15,44,45
24,22,2,0.217639384075828,138.72,172.37,38,7.38365344703244,15,46,47
24,23,2,-1.57004417846735,108.720752148257,122.370000282864,34,7.26200776442606,14,42,43
24,24,2,-1.24395052085587,105.04105742026,153.922940269626,31,7.14967873368062,14,50,51
24,27,7,0.674746979775872,60.8295674811001,50.5576501189603,33,7.77644050294118,0,0,0
24,28,1,1.12376827590506,76.602120413619,79.8514196245282,38,7.01514297946031,4,0,0
24,29,1,1.05978262132134,95.5922491913677,110.380938298209,34,7.35170738096131,4,0,0
24,30,8,1.01198194606229,79.0611485014317,99.5590328013982,34,7.17587913150571,0,0,0
24,31,9,1.1392582913516,95.8575147308673,127.997402495529,35,7.02907016778244,0,0,0
24,32,10,-1.00792195375727,106.832534449554,167.980756934574,36,7.098701211762,0,0,0
24,33,11,0.763584702834372,90.8369693302003,184.314723560545,36,8.09061776392204,0,40,41
24,34,3,1.42916355902184,53.7350197476649,59.5817395810301,18,7.09861203870891,6,0,0
24,35,3,1.16814582098733,58.3681289487397,77.1459035202235,20,7.34695291933923,6,0,0
25,5,1,-1.53359780874874,117.977189939857,136.450691785097,32,7.63991735753899,1,0,0
25,10,3,-1.36765531971639,97.1623090192989,162.768815535771,40,7.28031349030233,7,0,0
25,11,3,0.520512198699921,134.942675431498,162.817564564493,38,7.5362303482587,7,0,0
25,17,2,1.02450194764952,63.5127722274722,66.209762257422,31,7.41903400680115,12,0,0
25,19,4,1.24051909082813,88.0210712938135,132.436457939353,40,7.61578049094637,16,48,49
25,21,2,-1.09668558703748,115.057972789746,176.461697922369,39,7.0989428324579,15,44,45
25,22,2,0.247788901853569,142.817369502116,174.934728543608,42,7.4733427873503,15,46,47
25,23,2,1.50491341763755,108.941084746977,122.482917629036,37,7.34812372248882,14,42,43
25,24,2,-1.26313049789402,106.56793896595,157.624895931983,35,7.20293674400967,14,50,51
25,27,7,0.630854875462934,62.3311558688768,50.2513205634055,36,7.59117207991289,0,0,0
25,28,1,1.18629779258082,78.5495200307106,82.012641497763,40,7.0163520335223,4,0,0
25,29,1,1.14358553301365,97.8501249510767,113.535666108763,36,7.39343778922918,4,0,0
25,30,8,1.06353650547635,77.1288816165158,96.6786759118358,37,7.32329530459562,0,0,0
25,31,9,1.15844731367749,96.1076360902693,127.751525110222,38,7.24025380693071,0,0,0
25,32,10,-1.11511338436413,109.006978872815,171.161133162134,40,7.0388828592264,0,0,0
25,34,3,1.28215993815084,48.880411531894,55.0399741187505,20,6.72117249036805,6,0,0
25,35,3,0.93691171075604,58.3381275930136,73.1394127733864,21,7.48396121573936,6,0,0
25,36,2,1.14645424546707,65.2784844437719,91.2002057469271,20,7.5215974942122,18,0,0
25,37,2,0.941513498851984,74.5357750906824,107.744282555866,20,7.38965883097779,18,0,0
25,38,4,1.28203502280937,84.0021039777683,145.377147549741,21,7.7314060655375,20,0,0
25,39,4,-1.53787964337439,87.972910739494,163.450541705109,19,7.11706391061495,20,0,0
25,40,11,0.980845363950737,84.6372277840288,180.453512452451,22,7.97218315228706,33,0,0
25,41,11,0.62195504763303,99.1486873898726,194.356370475282,20,7.64066338617025,33,0,0
26,5,1,-1.48985602063054,122.502488896611,135.172847899994,32,7.51115512115514,1,0,0
26,10,3,-1.44555297587168,101.55274888377,165.092916519951,44,7.41270596005796,7,0,0
26,11,3,0.581918628066673,139.595558318225,161.963114485334,41,7.5085708231754,7,0,0
26,17,2,0.764198852252589,67.5740205787368,61.5709684751642,34,7.40965196860524,12,0,0
26,19,4,1.32349011177703,92.4352123207345,133.83239651152,44,7.60229242191505,16,48,49
26,24,2,-1.33219901003035,111.156339913538,157.738329559332,38,7.23308317602757,14,50,51
26,27,7,0.708949053913503,67.42,50.21,40,7.54884653593479,0,0,0
26,28,1,1.30122856377529,86.4741708537155,84.1094722515448,42,6.88018622018625,4,0,0
26,29,1,1.29582091936496,104.03697757187,115.555454303505,40,6.57507415517244,4,0,0
26,30,8,1.17422515789188,80.8432848115601,92.8281914317666,41,7.15670751479402,0,0,0
26,31,9,1.24454830986637,99.3652514179986,124.877356699188,43,7.31397249221157,0,0,0
26,32,10,-1.22364260340177,114.700567596006,171.609877819057,43,7.02335687414377,0,0,0
26,34,3,1.44657412412582,50.9277056612298,52.3339029670536,22,7.11221077040112,6,0,0
26,35,3,0.52504563029647,62.736723220318,69.3920242905421,24,7.20443621960375,6,0,0
26,36,2,1.19302416584834,69.4552556593019,86.8944253176467,22,7.53779221339279,18,0,0
26,37,2,1.0738440248166,77.9804801858998,106.448374354773,22,7.69620650196605,18,0,0
26,38,4,1.34811691726245,86.4446907795988,142.43084366552,22,7.76311391384807,20,0,0
26,39,4,1.44395532648114,90.4280335402827,162.836501157291,21,7.26330199020424,20,0,0
26,40,11,1.07400311642171,88.8025801083631,179.247051123791,24,7.84052213811277,33,0,0
26,41,11,0.627017526554799,103.238158289606,196.313147130877,22,7.46814113157551,33,0,0
26,42,2,1.27953500399469,111.297478456269,109.374639108436,22,7.62476768988301,23,0,0
26,43,2,1.55064073502585,113.920203117063,129.730154227102,20,7.14656475913322,23,0,0
