TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis
12,54,0.0,8.0,250.0,330.5,False,2.0,0.0
12,55,9.277353206294285,8.0,251.7958115183246,346.70680628272254,False,28.65352184357556,8.671503802343182
13,1,32.994870167139034,107.0,250.67578125,154.90234375,True,38.91683588953797,8.690248079918055
13,2,39.207887469391046,62.0,231.0185185185185,151.59259259259258,False,24.46628782160385,8.895765411734818
13,3,29.82178971941148,61.0,221.0682926829268,163.29268292682926,True,30.65605674670504,9.114447042227653
13,4,45.0,62.0,238.5,163.5,False,2.8284271247461903,0.0
13,7,-45.0,61.0,229.5,180.5,False,2.8284271247461903,0.0
13,15,13.64476339627648,110.0,285.1703296703297,198.521978021978,False,30.0388397406916,8.006077832086769
13,16,-18.69841615935846,89.0,214.6144578313253,202.2530120481928,False,31.553908866466596,7.193294808632506
13,21,3.765293624474893,122.0,298.35,233.15,False,28.81672059746115,8.120546821152184
13,25,-26.87358876079273,89.0,198.95294117647057,238.04313725490195,False,35.75818039193752,9.337310564783744
13,30,-10.972571596829964,151.0,280.4022988505747,239.17241379310343,False,24.324707160638543,5.356469295313084
13,33,-9.614824736627591,89.0,205.2022471910112,274.30337078651684,True,59.42931548061054,8.790074652476127
13,34,-6.147218746604487,122.0,297.40983606557376,259.7103825136612,False,31.26475596428657,7.744150764726263
13,40,-8.274071856390458,8.0,279.6818181818182,278.9886363636364,False,23.47400095442297,5.212250970884368
13,43,5.158429710813828,160.0,260.6923076923077,276.96153846153845,False,10.70694658170222,3.6971593425584857
13,44,-12.172773011968667,140.0,290.9438202247191,299.2696629213483,False,33.4867027804405,7.052755171080264
13,45,22.480410983466985,106.0,221.47692307692307,306.9384615384615,False,27.104173504997583,6.440441100543262
13,46,-21.09486084010158,202.0,268.618320610687,321.77862595419845,False,28.96611105587024,6.052112545475073
13,47,-32.87373305839944,202.0,277.10460251046027,337.36401673640165,False,38.896775882357765,8.115846656792067
13,48,24.72480547293826,106.0,235.63470319634703,337.3972602739726,False,31.207640609902658,9.1849707213462
13,49,18.910644902724616,8.0,253.19760479041915,342.7065868263473,True,30.70283265710108,7.582185196504338
14,1,46.714194823405954,62.0,221.76,145.23555555555555,False,32.41796612572058,9.333064317553122
14,2,50.05969894252823,107.0,247.81770833333331,150.58333333333334,False,29.757013725664457,8.629059759038745
14,3,44.58940446328397,61.0,208.95473251028807,153.09465020576133,False,31.35080748227577,10.416635774165732
14,5,38.652960205197225,107.0,262.5274725274725,164.95604395604394,False,16.23453166682789,7.280959840370713
14,8,28.73667115292269,61.0,228.11764705882356,175.35294117647058,False,9.866304068401917,3.1012871112005747
14,13,-1.7357045889283889,236.0,274.30232558139534,182.06976744186048,False,10.687963236254832,5.416957529875597
14,14,-2.6038790220811365,110.0,288.493023255814,192.0744186046512,False,32.79307932594785,8.772255493314923
14,15,-16.036073304915803,89.0,213.91411042944785,199.9509202453988,False,33.25941145894347,6.639610215005051
14,21,-8.788374582566044,122.0,295.4323432343234,243.4851485148515,True,65.02235318128048,8.059411419288072
14,23,-21.52497269898638,89.0,200.33877551020407,239.89795918367344,False,37.868484715063566,8.41715129842527
14,24,-8.793997106081648,151.0,281.47058823529414,235.36764705882356,True,18.71111786806281,5.151808124434576
14,28,-7.92918849632659,89.0,211.13333333333333,254.26666666666668,False,10.252268932718575,3.8818500111404775
14,31,-6.93817295112484,89.0,204.58156028368796,283.1737588652482,False,42.37065097484474,8.93614796512371
14,38,21.26908126912651,8.0,276.2068965517241,281.2758620689655,False,14.74745269070114,3.8132894711707856
14,39,9.453225570343198,140.0,295.65727699530515,302.5023474178404,False,37.097238088887366,7.597874680204511
14,42,14.023690614432912,106.0,221.7967479674797,305.3252032520325,False,27.949922280347955,5.985888542392721
14,43,-37.07854664505203,202.0,271.05442176870747,323.68027210884355,False,33.61266954601253,5.969480315618794
14,45,-40.5864233228172,202.0,277.6523605150215,338.6394849785408,True,41.83068009998579,7.490244353714143
14,46,24.38073036172665,106.0,234.5766129032258,342.18145161290323,False,34.75189163760221,9.31915287645182
14,48,32.056486866836664,8.0,246.33333333333331,333.1666666666667,False,6.192906155393311,2.181518842825508
14,49,16.93158485697304,8.0,252.875,349.46527777777777,False,26.61013571444281,7.36872131391499
15,1,55.24686962442024,62.0,212.17991631799163,145.07112970711296,True,35.96763406153771,9.172811607620584
15,2,60.86727160336774,107.0,249.5439189189189,151.0033783783784,True,54.6757365651488,8.889278541415264
15,3,56.22160694835687,61.0,195.7159090909091,151.01136363636363,False,29.981790973249527,11.448648342898318
15,12,-20.570686155948327,236.0,276.046875,177.4375,False,14.070606858800566,6.298441583048498
15,14,-11.013584795909182,110.0,289.017094017094,188.74786324786325,False,34.71921377562115,8.89341407930633
15,16,-7.28202913481482,89.0,212.7405063291139,202.31012658227849,False,38.99671705211859,6.011113261853288
15,21,7.874863507429304,122.0,298.06535947712416,231.33986928104576,False,29.23146025500643,6.986259221349324
15,25,16.542426464367487,151.0,281.61538461538464,229.46153846153845,False,5.459018464115008,3.858174171936228
15,26,-30.158086758658317,89.0,199.34701492537317,245.38805970149252,False,42.06265341568377,8.454091284820096
15,27,-2.641724004624197,151.0,281.3269230769231,241.42307692307693,False,16.99363464474017,4.492313279648552
15,28,-19.67782863236002,122.0,293.49645390070924,262.2482269503546,False,30.24713026126065,6.329953101756559
15,30,-31.892051488180776,89.0,209.6451612903226,257.741935483871,False,10.132128396436944,5.1870040079521385
15,33,6.50551379179002,89.0,202.8023255813953,293.8178294573643,True,39.53771032142751,8.489899781502535
15,35,7.496114701520418,8.0,275.82758620689657,285.9310344827586,False,10.627525292670246,4.535741122789589
