TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
3,4,4,-12.524262119003,133.548426505417,286.718102133701,45,6.63811822302033
3,5,5,26.7861348303701,130.714669235953,53.6763474507311,36,7.78153850373988
3,6,6,4.52340050139919,139.018866245959,298.233114793345,36,6.49994701307313
3,7,7,3.48669399600882,195.44,59.23,32,7.30774792948629
3,8,8,31.2518421877391,231.680599627387,194.157447595254,24,7.27590555695936
3,9,9,-78.1884729609618,239.155279867197,112.148827282079,42,7.37648150816252
3,10,10,30.9648309641674,275.011258361228,258.972744082316,41,7.71739616370718
3,11,11,8.90140443354231,281.44,223.73,26,7.62944777883222
3,12,12,-29.0545865810535,329.877078712303,83.9871786680463,29,8.1573168366612
4,1,1,79.4393106895006,43.5884693365062,138.59163845724,28,7.67880181175163
4,2,2,75.7661219731155,45.6106998656779,167.245880559628,28,7.66202497688926
4,3,3,-56.2326545490053,116.720171230941,171.390787655128,26,7.56470589254681
4,5,5,26.8254822005953,131.800555365525,54.171829837636,38,7.57248486713672
4,7,7,3.44720291546039,196.08,59.5,33,7.25745684432943
4,8,8,30.0755941297697,232.329428915321,194.432682483494,24,7.25934412018393
4,9,9,-78.5078770341009,239.289257160059,112.420431289346,42,7.44212119938541
4,10,10,30.8081838153002,275.150556624615,259.243917225613,42,7.67045098000755
4,11,11,9.14938361123687,281.659504533446,224.006361438741,26,7.653408560981
4,12,12,-29.0545865810535,330.017078712303,84.2571786680463,29,8.1573168366612
4,13,4,-8.12799463382133,123.074977347705,289.429307530397,23,6.82515517090188
4,14,4,-19.8600492495897,145.880400702387,284.359875466799,24,5.78540097087142
4,15,6,-4.3006504877216,130.542504975992,297.501407858892,20,6.27887760943648
4,16,6,29.824696165464,149.328673973637,299.066224418811,17,6.45762023796434
5,1,1,79.3771581814224,43.5385690319568,138.632171598924,29,7.5207005354045
5,2,2,73.9036137469044,46.0692033570241,167.817254054698,28,7.78550667496697
5,3,3,-56.2940556879143,116.668982461009,171.430638077302,27,7.50518802008547
5,5,5,25.825819122143,131.54442451155,54.6579409346949,38,7.7554406755108
5,7,7,3.83722942631288,196.03,60.04,34,7.26475579824612
