TimeStep,CellNumber,Orientation
37,13,-52.6997979734668
37,15,-16.2635208150997
37,25,54.6114418016774
37,26,33.5404018987334
37,27,-2.06243498508846
37,28,-18.732563115554
37,29,64.3973307990406
37,30,0.896694136372219
37,31,-23.9928069093739
37,32,21.9177234768428
37,34,16.3357929076914
37,35,-11.7933152551837
37,37,-55.8722445599925
37,38,-3.18588424492702
37,39,-14.5083484209117
38,1,-58.7534774261215
38,2,68.2401084401969
38,7,-13.6201556460364
38,11,31.3151644509226
38,13,-53.0150272645025
38,15,-14.8823522806306
38,25,53.7033437640162
38,26,32.2744007557244
38,27,-2.54733398096398
38,28,-18.4164642761226
38,29,63.3000961538362
38,30,0.476778975629415
38,31,-24.4170298356169
38,32,22.6886677172224
38,34,18.4732309499264
38,35,-11.3460833795346
38,37,-56.5908207084062
38,38,-3.5586449975701
38,39,-13.2338372579237
39,1,-58.7284921076735
39,2,68.5842131304784
39,7,-12.7750422458206
39,11,31.7619032223436
39,13,-51.9844470075705
39,15,-13.7247658050715
39,25,53.4714086696719
39,26,31.5633484411256
39,27,-1.81441383785393
39,28,-18.9511974379083
39,29,63.2659630563358
39,30,0.68718108141934
39,31,-24.7328127817053
39,32,23.7240351699064
39,34,18.3302685267059
39,35,-10.9800838598505
39,38,-5.25132563660974
39,39,-15.530096901974
39,40,-56.6959353368978
39,41,-61.4948734647575
40,1,-59.1380822098693
40,2,68.5240119232912
40,7,-11.0782916264372
40,11,31.1565314157781
40,13,-52.4037041502284
40,15,-13.4032380115341
40,25,52.6534685862117
40,26,31.2501878662386
40,27,-1.79821770677053
40,28,-19.7368482358747
40,29,63.3244582242822
40,30,0.519347067007701
40,31,-23.917287379823
40,32,25.4259713556814
40,34,19.5172887628433
40,35,-10.4449953277756
40,38,-6.65870750885578
40,39,-9.75238968935533
40,40,-54.2575766374677
40,41,-60.8506664834113
41,1,-59.0845114388106
41,2,68.342215864853
41,7,-9.85618254996747
41,11,30.3623812905062
41,13,-53.1212667812169
41,15,-12.1068173010728
41,25,52.0496710098269
41,26,30.1149648840891
41,27,-1.84878612809753
41,28,-19.9040406420642
41,29,62.7106279368625
41,30,90
41,31,-24.0684330340838
41,32,25.0213324540632
41,34,19.7972315860819
41,35,-11.2224248084405
41,38,-10.3253355265435
41,39,-7.3575287387784
41,40,-54.5349853547525
41,42,-63.4088199500455
42,1,-59.5247911690264
42,2,68.5437821106502
42,7,-10.57726189203
42,11,30.3429124925242
42,13,-52.0216554780813
42,15,-10.9467624273998
42,25,51.6544723519453
42,26,29.2884393418502
42,27,-1.7355083406234
42,28,-19.7204142492958
42,29,62.4313452716972
42,30,0.449596248552041
42,31,-24.2585831245445
42,32,25.7396373809883
42,34,20.9414344701196
42,35,-11.5829648916276
42,38,-16.4627261152917
42,39,-5.47884341680046
42,40,-54.1189766636298
42,42,-64.6074447227443
43,1,-59.6981285163507
43,2,69.1915020641115
43,11,30.6226996515134
43,13,-53.3967478486676
43,15,-9.47531631678912
43,25,51.6223775230101
43,26,28.3301156719443
43,27,-1.6254209723259
43,28,-20.0577422724536
43,29,60.7422924820239
43,30,0.718437781432058
43,31,-25.4477417656615
43,32,26.1710269862945
43,34,21.6662815259239
43,35,-12.7268560955347
43,38,-35.2485088626981
43,39,-15.0355823509357
43,40,-53.8395341293777
43,42,-65.385867705187
43,43,-11.0113647752591
43,44,-2.35393393321353
44,1,-59.7314010501464
44,2,69.2527203250238
44,11,30.4448625353599
44,13,-52.5532978666191
44,15,-8.83010578853795
44,25,52.0748815169748
44,26,27.5448485980059
44,27,-1.79935217641197
44,28,-19.9544200240359
44,29,59.2208342461603
44,30,0.416695066797388
44,31,-25.5849559628556
44,32,26.9875053592689
44,34,23.7825471059764
44,35,-13.4007061991578
44,38,-40.3169909331652
44,40,-53.9611078334989
44,42,-65.6236947611382
44,43,-13.896162913461
44,44,-1.07285435721911
45,1,-59.8190932626089
45,2,70.249420860164
45,11,29.9117616437609
45,13,-53.1894749547889
45,15,-7.71541493307143
45,25,52.7708297318816
45,26,25.9962731295148
45,27,-1.44918888377029
45,28,-19.7439249541736
45,29,57.4461961754868
45,30,0.22802576766918
45,31,-24.9573557059169
45,32,27.1316460946629
45,34,24.5292447672505
45,35,-13.0767126205448
45,40,-52.9073333908916
45,42,-65.5607546395161
45,43,-19.9932099541296
45,44,0.531395062113006
45,45,-39.0811045517587
45,46,-42.4170832246677
46,1,-60.6241124014614
46,2,70.7705995423356
46,11,29.8937931099622
46,13,-53.0762260338099
46,15,-5.87155729275571
46,25,53.3061149041358
46,26,25.2493721881
46,27,-1.50658650151006
46,28,-19.9405612766165
46,29,56.4119532352643
46,30,0.0919725708940717
46,31,-24.6748310563132
46,34,25.140681849023
46,35,-12.4469997633326
46,40,-49.2022144365899
46,42,-66.0148680401215
46,43,-25.1131736713313
46,44,8.30150349712333
46,45,-40.3264973984906
