TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis,parent
36,35,-0.471801468,4,219.6041667,82.48958333,FALSE,24.88278563,5.033716186,19
36,36,-0.462624326,4,227.8823529,86.90196078,FALSE,30.49711461,4.725999799,24
36,37,-2.786722001,3,108.0088496,90.91150442,FALSE,29.31538539,5.764111895,16
36,38,-0.250045379,4,246.4395604,86.96703297,FALSE,24.28668085,5.111286835,23
36,39,-0.283937752,3,135.6062992,90.55905512,FALSE,29.34414186,5.926693069,16
36,40,-0.682844308,4,200.1948052,95.31168831,FALSE,20.43584262,4.926124825,19
36,41,-0.290789218,4,243.8942308,96.125,FALSE,27.37568315,4.929180877,21
36,42,-0.463400731,4,223.8656716,97.40298507,FALSE,21.14205166,4.09309908,23
36,43,-0.767282926,4,206.525641,101.4615385,FALSE,24.42052228,4.286389453,24
36,31,-0.609727823,4,178.8039216,108.245098,FALSE,27.86886814,4.812653789,20
36,44,-0.279689875,4,217.0759494,106.2531646,FALSE,26.65888516,3.959765545,21
36,22,-0.210582053,4,215.4412955,113.6680162,FALSE,59.24172539,7.405014456,13
36,17,-0.433109806,4,174.2329545,119.1647727,TRUE,53.57012039,8.270070212,14
36,32,-0.160143959,4,152.9693878,118.6428571,FALSE,28.24309061,4.671513979,20
36,29,-0.23492093,4,181.7317073,127.398374,FALSE,30.00477125,5.406110412,18
36,30,-2.83160969,4,156.8625954,132.9083969,FALSE,32.32019629,5.69778527,18
37,33,-2.499988842,3,35.00740741,35.02222222,FALSE,34.22949033,5.92357729,25
37,45,-2.473937507,3,29.15909091,40.05681818,FALSE,22.5879345,5.122274318,26
37,34,-3.029158258,3,109.9258794,68.91959799,TRUE,161.1403747,47.33119032,25
37,46,-2.393934905,3,46.7029703,54.81188119,FALSE,24.55716434,5.30621832,26
37,27,-0.229887052,3,181.6623377,62.77922078,FALSE,41.0054091,7.054818015,5
37,47,-2.50488154,3,67.92413793,74.37241379,FALSE,32.65622041,5.806486707,28
37,15,-0.325520756,3,174.6887417,73.74503311,FALSE,61.58772741,8.177906331,10
37,35,-0.48072522,4,221.8736842,81.2,FALSE,26.04172271,4.769057944,19
37,36,-0.489149303,4,228.1584158,86.72277228,FALSE,29.89528607,4.432895132,24
37,37,-2.719857985,3,104.8861789,89.3495935,FALSE,33.55154245,5.182950167,16
37,48,-2.550898554,3,92.92424242,91.82575758,FALSE,29.98102193,5.790546352,28
37,38,-0.237762592,4,246.8640777,86.98058252,FALSE,26.06592483,5.520826394,23
37,39,-0.253775535,3,134.1102941,90.94852941,FALSE,30.15068889,6.009217908,16
37,40,-0.647902964,4,201.6470588,93.58823529,FALSE,22.50824141,4.995551934,19
37,41,-0.297224825,4,244.0784314,95.85294118,FALSE,28.4021661,5.034193516,21
37,42,-0.422660737,4,223.0769231,97.36923077,FALSE,23.29534359,3.616871584,23
37,43,-0.79114231,4,204.825,102.5125,FALSE,26.20574039,4.191261229,24
37,31,-0.65990711,4,178.9491525,107.8813559,FALSE,30.04852534,5.142630988,20
37,44,-0.287918122,4,216.5054945,107.043956,FALSE,28.75139276,4.256433453,21
37,22,-0.268168363,4,217.2706767,113.6240602,TRUE,62.73252502,8.190939832,13
37,49,-0.778436232,4,186.2345679,112.691358,FALSE,25.69029958,4.230873693,17
37,32,-0.154175686,4,152.4,118.5238095,FALSE,28.98024949,4.84176991,20
37,50,-0.139476287,4,164.2674419,123.8488372,FALSE,28.08937018,4.24681258,17
37,29,-0.221266679,4,181.519685,127.4724409,FALSE,32.0011448,5.273887654,18
37,30,-2.819017717,4,156.9852941,132.6764706,FALSE,33.03575226,5.68969566,18
38,33,-2.441233404,3,35.90909091,33.3006993,FALSE,39.31682762,5.311921001,25
38,51,-2.383312952,3,66.21791768,53.94673123,FALSE,90.44058394,13.20634053,34
38,45,-2.430091314,3,29.21428571,36.73469388,FALSE,23.26932454,5.468284374,26
38,46,-2.423885947,3,48.65740741,53.99074074,FALSE,28.13973778,5.140429878,26
38,52,-0.441581888,3,147.6694737,68.97263158,FALSE,102.8369535,15.21816772,34
38,27,-0.186524319,3,183.0632184,60.16666667,FALSE,44.21159687,7.374925829,5
38,47,-2.400534846,3,71.5033557,75.2885906,FALSE,37.93900123,5.219747268,28
38,15,-0.307410807,3,174.5015773,72.00315457,FALSE,69.21851584,9.066283522,10
38,35,-0.477740045,4,226.8547009,76.09401709,FALSE,29.52840684,5.236700534,19
38,37,-2.722754207,3,96.43548387,82.7016129,FALSE,35.49554233,4.924706982,16
38,36,-0.495443958,4,228.8703704,83.87962963,FALSE,34.75267969,4.168956508,24
38,38,-0.217251503,4,246.4862385,84.39449541,FALSE,29.03974594,5.36708524,23
38,40,-0.331979946,4,203.5157895,87.91578947,FALSE,25.06273298,5.084016843,19
38,39,-0.154939985,3,129.1946309,89.46308725,FALSE,33.53094636,6.166652434,16
38,48,-2.836749258,3,100.4513889,93.34722222,FALSE,32.75071994,5.85767966,28
38,41,-0.318467706,4,244.0485437,92.93203883,FALSE,32.76276073,5.066988429,21
38,42,-0.456931305,4,220.6315789,96.34210526,FALSE,27.77529254,3.679868845,23
38,43,-0.754352134,4,201.9450549,101.7802198,FALSE,29.96875977,4.070474722,24
38,31,-0.781535263,4,179.8857143,104.0285714,FALSE,33.67867474,5.945872368,20
38,49,-0.883939381,4,188.8598131,106.4766355,FALSE,32.00627394,4.42428768,17
38,53,-0.564157209,4,234.1097561,105.3170732,FALSE,34.67727322,6.245197046,22
38,44,-0.321031442,4,213.3557692,106.5673077,FALSE,32.04468846,4.620389674,21
38,32,-0.192502869,4,150.168,115.984,FALSE,33.43981525,5.649343003,20
38,54,-0.05368398,4,203.4132231,116.553719,FALSE,33.76067538,5.00748802,22
38,50,-0.131023273,4,163.3516484,121.2417582,FALSE,30.72874151,4.496154252,17
38,29,-0.126516769,4,183.9,125.0066667,FALSE,36.73964169,5.543586461,18
38,30,-2.856854798,4,158,130.3933333,FALSE,37.05823569,5.590330031,18
39,51,-2.364626234,3,61.57238307,49.30734967,FALSE,96.94876596,12.11124629,34
39,33,-2.442657052,3,36.43333333,33.36666667,FALSE,39.85044276,5.322905514,25
39,45,-2.429935905,3,28.54081633,36.06122449,FALSE,24.57109476,5.238318219,26
39,46,-2.411128949,3,48.46017699,53.78761062,FALSE,27.81328428,5.315841098,26
39,52,-0.413985472,3,147.6742268,68.61237113,FALSE,110.1231482,16.59581295,34
39,27,-0.197984774,3,182.5149701,60.84431138,FALSE,48.33382649,6.935165065,5
39,47,-2.38776747,3,73.0125,76.9875,FALSE,38.56102747,5.389077856,28
39,15,-0.307979123,3,173.7826087,72.73602484,FALSE,73.88960957,9.397759374,10
39,35,-0.483456839,4,227.2276423,75.6504065,FALSE,30.98276256,5.302179441,19
39,37,-2.67352803,3,90.9469697,80.61363636,FALSE,37.58017094,5.288099212,16
39,36,-0.487435017,4,229.7372881,83.45762712,FALSE,36.42656467,4.423301829,24
39,38,-0.23613065,4,246.8035714,84.41964286,FALSE,29.92179419,5.474081593,23
39,40,-0.014591831,4,200.8608696,85.95652174,FALSE,26.3878522,5.629309008,19
39,39,-0.032147012,3,127.2430556,89.09027778,FALSE,34.72649905,6.027269679,16
39,48,-2.901504789,3,104.6451613,94.44516129,FALSE,35.58877475,5.958645781,28
39,41,-0.284924521,4,244.7894737,92.9122807,FALSE,34.03845751,5.336757328,21
39,42,-0.441158613,4,219.1573034,96.86516854,FALSE,30.84849057,3.903128118,23
39,31,-0.810024774,4,179.6382979,103.1347518,FALSE,34.57351896,5.826455011,20
39,49,-0.850168109,4,190.0458716,103.0917431,FALSE,33.06487296,4.498212283,17
39,43,-0.745860839,4,200.4226804,102.0618557,FALSE,33.51483866,4.053858698,24
39,53,-0.552323519,4,234.5776398,105.2608696,FALSE,35.74028223,5.88764159,22
39,44,-0.328408322,4,212.7622951,106.6065574,FALSE,33.59864619,5.012705043,21
39,32,-0.180043034,4,149.9761905,115.8730159,FALSE,35.93335682,5.884049285,20
39,54,-0.091152434,4,202.625,116.9191176,FALSE,36.69709822,5.282943097,22
39,50,-0.138734599,4,163.1962617,120.9439252,FALSE,34.42946379,5.001083418,17
39,29,-0.095657033,4,185.2628205,125.2435897,FALSE,37.31131933,5.543821578,18
39,30,-2.856678766,4,157.955414,130.2420382,FALSE,38.60117587,5.642127071,18
