ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
12,8,232,468,126,187,108,161,116.48706896551724,173.51724137931035,1.567362978633024,246,0.9507199420665117,17.186959427966244,1,0.49572649572649574,0.6380143040459908,31.042436580987946,28.653097563788805,4.47213595499958,2.366907880972069,2.23606797749979,8.74642784226795,9.624736960317076,-30.79718284043252,67.59797974644665,0.943089430894309,116.48706896551724,173.51724137931035,0,21.86441698029259,69.24911981196207,7,6.0,100.0,81.76867059701155,6,8,8,8,2.162454415445958,0.08088906747475447,nan,2.589610809325127,7.0,12,0.8350499649055414,11.0,7,-0.05530391583869232,-0.05902980713031525
12,9,213,442,246,204,220,187,232.5399061032864,195.0093896713615,1.6076498389187792,229,0.951934413435209,16.46815177937675,1,0.4819004524886878,0.6220260008065858,29.942201480383606,27.313000567495326,4.47213595499958,2.2721304208659494,2.23606797749979,8.255929830036745,9.17135411147217,60.79947561467949,65.59797974644667,0.9301310043668122,232.5399061032864,195.0093896713615,0,29.583442438916375,58.117328588126306,10,5.0,100.0,66.73662113793274,11,9,9,9,1.4133691230406815,0.08621423381393523,nan,1.7526869178291924,8.0,12,0.8064013650488268,11.0,8,-0.059192995812708205,-0.06268240071057107
12,10,273,360,298,232,268,220,282.010989010989,225.50915750915752,1.4640404009009667,287,0.9281667607013494,18.643883600599406,1,0.7583333333333333,0.683041259916463,30.626638689165695,29.614185789921695,6.0,2.7027414083160473,2.23606797749979,11.0,11.398149701684176,81.49609450776624,70.8700576850888,0.9512195121951219,282.010989010989,225.50915750915752,0,36.33881625338232,32.94733963427881,11,5.0,81.29496402877697,39.42727194055503,12,10,10,10,1.4881015638321917,0.13141025641027765,nan,1.9880572884955654,9.0,12,0.7485204638938205,11.0,9,0.05384615384616609,0.11987179487181265
12,11,201,300,275,262,255,247,264.6517412935323,253.51243781094527,1.2434135741988783,216,0.8590169632233329,15.99753570059363,1,0.67,0.8042376412403992,22.473697949546782,21.633307652783937,5.830951894845301,2.6010912335768634,2.23606797749979,10.95602495244606,11.505345011658926,65.49800758112549,56.04163056034261,0.9305555555555556,264.6517412935323,253.51243781094527,0,87.08999849982858,23.393151487297835,12,5.0,98.34710743801652,32.94733963427881,10,11,11,11,2.920806880517024,0.13556276346406282,nan,40.96526798509359,10.0,12,0.07129959168288232,11.0,10,-0.12921108742006027,0.041009239516711204
12,12,208,437,297,275,274,256,285.13461538461536,264.8125,1.4909513693492822,225,0.9380157569329655,16.273715780512877,1,0.4759725400457666,0.6707126875884923,27.817406929644953,25.80697580112788,5.0,2.3432845181479465,2.23606797749979,9.2,9.641307769048918,52.4119489655875,62.426406871192846,0.9244444444444444,285.13461538461536,264.8125,0,56.5711852467891,23.393151487297835,11,2.0,51.932367149758456,39.42727194055503,10,12,12,12,21.0825058892483,0.20957499670392882,nan,40.81274708276268,10.0,12,0.5165666953634819,11.0,11,0.1766714593817369,-0.11273364485981574
12,13,424,972,162,296,108,278,134.2995283018868,286.75943396226415,2.9397881245168422,518,0.9871832041807872,23.23474912642073,1,0.43621399176954734,0.34016056860028004,60.42920760792083,54.12947441089743,5.0,2.3264550885301754,2.0,9.857833948536499,9.643964127789804,-78.12572064381126,125.1543289325507,0.8185328185328186,134.2995283018868,286.75943396226415,0,170.74660032118905,13.98096806506368,14,5.0,81.88512518409425,114.63454055652082,8,13,13,13,1.761513919664681,0.5074759264113283,nan,3.5263771279401976,12.0,12,0.4995251091290976,11.0,12,-0.4884235053421264,0.1377472152761925
12,14,313,546,159,307,117,294,138.66453674121405,300.04153354632587,2.730525548353085,414,0.9733078823476695,19.963065333312567,1,0.5732600732600732,0.3662298639187425,48.076934259823226,41.30375285612676,5.0,2.2066832360505395,2.0,11.638157269856642,11.03381521828312,-89.74901204603378,103.63351365237939,0.7560386473429952,138.66453674121405,300.04153354632587,0,8.250572584863523,13.98096806506368,13,2.0,60.55979643765903,128.4532466904063,8,14,14,14,2.0908380521621335,0.46064466765917467,nan,3.230330363953346,13.0,12,0.6472520815497403,11.0,13,-0.4303999676467072,-0.16416265620580361
13,1,386,1050,156,69,114,44,134.04663212435233,55.97409326424871,2.341320585208432,432,0.9813816047169378,22.16913314200113,1,0.3676190476190476,0.4271093870346579,51.67394545525647,46.06517122512408,5.0,2.433902694686784,2.23606797749979,9.391485505499118,9.924915297026645,64.60894074785394,106.5685424949238,0.8935185185185185,134.04663212435233,55.97409326424871,0,93.9868939314255,62.92466827006504,2,4.0,72.24080267558529,118.99698364972376,7,1,1,1,4.295574407329579,0.794560307610586,nan,24.653313873709422,1.0,13,0.17423922923037252,12.0,1,0.7106321243523155,0.35542659758203854
13,2,302,418,217,67,179,56,196.77814569536423,60.90066225165563,1.913361263329747,337,0.9719727157576982,19.60913925979463,1,0.722488038277512,0.5226404543487724,41.150740638014376,37.33630940518894,5.0,2.4333139687792276,2.0,8.955334711889902,9.674279177928074,85.2337430321373,85.21320343559643,0.8961424332344213,196.77814569536423,60.90066225165563,0,132.0461355159827,62.92466827006504,1,3.0,75.21008403361344,68.67384695229399,4,2,2,2,2.625197944131123,8.514954551545497,nan,19.52843756307888,2.0,13,0.13442949215222472,12.0,2,8.476863644082187,0.8045084055017853
13,3,287,560,344,96,316,76,329.13240418118465,85.0383275261324,1.560170160906363,310,0.9398850109697241,19.115955360352558,1,0.5125,0.6409557271746957,32.94218295384601,31.38470965295043,5.830951894845301,2.637907224452374,2.23606797749979,11.577165854852787,11.249462041304618,-58.94260892285971,75.01219330881976,0.9258064516129032,329.13240418118465,85.0383275261324,0,28.849769470359057,95.43458179158388,4,3.0,51.48514851485149,134.53726853267852,2,3,3,3,1.4583122906503045,0.13623855134526291,nan,2.3873396511355884,3.0,13,0.6108524566065108,12.0,4,0.051702426798669876,0.1260468243780224
