CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
3974,0.0238501406067789,13,4,24.3110223475304,14,0.705300372735794
3975,0.0256917799712097,12,4,52.9769187305274,13,1.23991475867326
3976,0,1,1,NaN,NaN,NaN
3977,0.0123513286922869,13,4,45.231561845531,13.5,-0.406569601576995
3978,0.0418857380468177,14,4,31.1189152696684,16.25,1.38622160948388
3979,0,14,2,114.185858682202,14,-1.19337323812085
3980,0,1,1,NaN,NaN,NaN
3981,0.0371905918857016,16,4,30.4120235281344,17.75,0.00437351611901143
3982,0,1,1,NaN,NaN,NaN
3983,-0.0101041036360725,17,4,39.092272506511,16.5,-0.768298764408058
3984,0.0607738522646515,15,2,66.5033809725831,16.5,-1.03870471831061
3985,0.0208605238256677,15,4,60.0386077026746,16,-1.00825779129373
3986,0.0418857380468177,14,4,63.4600230057564,16,0.124920081508247
3987,0.0447106644324466,13,4,49.7153797012899,15,-0.808387784045443
3988,0.0107564201895952,15,4,27.4245835772437,16,-0.721904738151353
3989,0.0479470120752969,18,4,33.7553863323841,20.5,0.693957570273697
3990,0.0479470120752968,12,4,55.1817621703981,13.75,1.38828570496597
3991,0.0346065607963741,13,4,55.8106223457694,14.75,0.0283613261467981
3992,0.0346065607963741,13,4,48.21243588472,15,-0.782108726275432
3993,0.0166805764261638,19,4,37.2995036511909,21,-0.964492508599793
3994,0,1,1,NaN,NaN,NaN
3995,0.0417210476513354,15,2,63.7431575003379,16,-1.52918421380564
3996,0,13,1,NaN,NaN,NaN
3997,0.0334451159103586,18,4,21.229838529772,20.25,-1.48143167532835
3998,0.0222552321040871,14,4,43.7360777366133,15,1.08277989133178
3999,0.040193676136148,11,4,42.6879774780269,12.75,1.30682391699802
4000,0,1,1,NaN,NaN,NaN
4001,0.0479470120752968,12,4,48.6543605702641,14.5,0.958852851611647
4002,0.0323593357401596,14,4,50.9053322048346,15.5,1.27552742100675
4003,0,7,1,NaN,NaN,NaN
4004,0,9,1,NaN,NaN,NaN
4005,0.00952640230665806,17,4,27.6591706400243,16.75,0.0380714028692142
4006,0.0190528046133161,17,2,56.8921073192224,17.5,-1.42919002114953
4007,0.0408537430054975,18,4,23.896321484256,21.25,-1.28115039972363
4008,0.239279931050106,20,2,57.1128137908429,30.5,1.48970875496884
4009,0.0429715182170166,17,4,43.5283958025861,19.75,1.34238566656885
4010,0.0445104642081742,7,2,31.9024835603577,7.5,1.10548941568426
4011,0,1,1,NaN,NaN,NaN
4012,0.0479470120752968,12,4,45.2875433431265,14,1.37191954076339
