CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
116.0,8.12748050689697,8.12748050689697,0.0,1.0,0.0
117.0,10.9486017227173,20.746242025624166,-0.74,23.0,0.006
118.0,11.0294761657715,27.546867465972895,0.085,40.0,0.022
119.0,17.6495094299316,27.758617843069683,-0.294,41.0,0.008
120.0,9.0829029083252,17.998984972635913,0.006,18.0,0.032
121.0,2.85482382774353,2.85482382774353,0.0,1.0,0.0
123.0,12.1327543258667,11.74731752607558,0.661,9.0,-0.006
124.0,22.2969989776611,24.559274561264935,-0.52,17.0,-0.026
125.0,22.207405090332,27.16866115287498,-0.462,27.0,-0.013
126.0,10.7206716537476,10.7206716537476,0.0,1.0,0.0
127.0,6.67623329162598,6.67623329162598,0.0,1.0,0.0
128.0,14.7463779449463,18.74420598495839,-0.603,43.0,-0.003
129.0,3.24909067153931,3.24909067153931,0.0,1.0,0.0
130.0,3.35205483436584,3.35205483436584,0.0,1.0,0.0
131.0,5.61092948913574,5.61092948913574,0.0,1.0,0.0
132.0,6.90774345397949,6.90774345397949,0.0,1.0,0.0
134.0,22.7699375152588,28.867573674519853,-0.418,15.0,0.022
135.0,6.84483432769775,6.84483432769775,0.0,1.0,0.0
137.0,13.7748966217041,13.7748966217041,0.0,1.0,0.0
138.0,10.4686908721924,12.108532269795733,-0.354,3.0,0.058
139.0,29.953821182251,29.953821182251,0.0,1.0,0.0
140.0,10.9975271224976,20.546100888933445,-0.244,21.0,0.025
141.0,9.83153533935547,9.83153533935547,0.0,1.0,0.0
142.0,23.7767467498779,31.32051131838844,-0.189,21.0,0.014
143.0,24.4897956848145,28.840643807063035,-0.32,63.0,0.005
144.0,16.7467269897461,18.29231262207032,-0.951,14.0,-0.01
145.0,9.66487312316895,9.66487312316895,0.0,1.0,0.0
146.0,31.742769241333,27.393760791191696,-0.269,26.0,-0.03
148.0,18.6751117706299,25.77634161168878,0.178,22.0,0.02
149.0,16.5409183502197,26.88365869264345,0.009,37.0,0.007
151.0,24.691385269165,24.733433287022475,-0.181,59.0,0.007
152.0,24.6340045928955,31.77332920186659,-0.195,34.0,-0.011
153.0,25.6872692108154,28.129982185363758,-0.629,10.0,0.007
155.0,17.4537563323975,17.4537563323975,0.0,1.0,0.0
156.0,25.656566619873,32.385723114013665,0.252,18.0,0.02
157.0,24.5966682434082,33.05734466783928,0.046,33.0,-0.011
159.0,14.4275846481323,13.070909182230634,-1.211,6.0,-0.031
160.0,2.42845892906189,2.42845892906189,0.0,1.0,0.0
161.0,25.6473217010498,35.10481333732602,-0.163,8.0,0.041
162.0,20.3286266326904,17.30805693502011,0.173,46.0,-0.002
163.0,20.5033092498779,27.883617254403916,0.049,26.0,0.019
164.0,27.5513019561768,32.75078941345215,-0.044,25.0,0.006
165.0,23.2211380004883,28.9382502128338,0.078,29.0,-0.014
166.0,12.6062335968018,14.206489880879735,-0.013,6.0,0.024
167.0,9.03789901733398,9.03789901733398,0.0,1.0,0.0
168.0,32.4669532775879,36.09671115875245,-0.087,4.0,0.036
170.0,20.2794914245605,24.658068730280945,0.046,39.0,0.009
171.0,22.9565505981445,25.11780174573263,0.044,24.0,-0.006
173.0,20.4146404266357,22.20919564565023,-0.017,45.0,-0.007
174.0,5.43906497955322,5.43906497955322,0.0,1.0,0.0
175.0,16.0223140716553,18.84864409073539,-0.151,23.0,0.016
176.0,19.3613910675049,29.3939147790273,-0.38,24.0,0.02
177.0,19.9933776855469,32.3464217185974,0.18,28.0,0.014
179.0,22.8712062835693,20.850045204162598,-1.605,2.0,-0.065
