CellId,birth Length,Last Length,AverageLength,AverageOrientation,AverageVelocity,LifeHistory,growth rate
97.0,30.0829372406006,11.5501689910889,23.335987832811146,-65.56703694661459,-1.578,9.0,-0.106
98.0,21.9403038024902,13.0128593444824,19.246390342712374,84.96097564697268,-0.769,4.0,-0.131
99.0,18.4628143310547,28.2784633636475,24.399998042894445,14.711314325747278,-0.205,23.0,0.019
100.0,21.4407367706299,46.560375213623,30.81032833908544,64.23691905628553,0.311,33.0,0.023
101.0,24.8347091674805,11.8345060348511,20.103370428085352,-62.922885894775405,-0.388,4.0,-0.185
102.0,20.556791305542,14.7143936157227,18.3844598134359,-67.42987569173177,-0.713,3.0,-0.111
103.0,20.9155502319336,15.5883111953735,19.253422737121564,-63.9032185872396,-0.653,3.0,-0.098
104.0,17.0455856323242,19.8120002746582,18.24236154556275,-86.26376724243168,0.181,4.0,0.038
105.0,11.3380937576294,10.5026121139526,11.205280303955066,-21.448786417643234,0.947,3.0,-0.026
106.0,27.0740013122559,47.8881874084473,34.713234558105476,54.00251586914064,-0.34,25.0,0.023
107.0,28.3952941894531,37.4039573669434,34.5638135827106,55.24382417098336,-0.462,23.0,0.012
108.0,17.5521297454834,12.1467905044556,15.373939704895017,54.4041473388672,-0.46,5.0,-0.074
109.0,26.3710556030273,26.3710556030273,26.3710556030273,-78.4986267089844,0.0,1.0,0.0
110.0,22.2930145263672,14.6121921539307,19.628841400146502,-68.50079345703126,0.514,3.0,-0.141
111.0,24.4281311035156,19.1648406982422,21.7964859008789,-62.43017578125,-0.91,2.0,-0.121
112.0,14.4361619949341,15.9970350265503,14.3564429283142,28.281929016113274,-0.956,4.0,0.026
113.0,12.9616041183472,10.5450811386108,11.753342628479,58.66543579101565,-2.391,2.0,-0.103
114.0,14.8244142532349,20.1542415618896,17.93626286433292,20.24174616887021,-0.506,13.0,0.024
115.0,3.58329725265503,3.58329725265503,3.58329725265503,81.2431945800781,0.0,1.0,0.0
116.0,8.12748050689697,8.12748050689697,8.12748050689697,-52.0889587402344,0.0,1.0,0.0
117.0,10.948600769043,13.3743705749512,20.746241818303655,33.2275092083475,-1.109,23.0,0.009
118.0,11.0294761657715,40.7121505737305,27.54686207771302,60.65478591918948,0.128,40.0,0.033
119.0,17.649507522583,28.5452175140381,27.75861112082878,51.886312345179114,-0.441,41.0,0.012
120.0,9.0829029083252,21.4340877532959,17.998987197875987,-55.60028584798177,0.009,18.0,0.048
121.0,2.85482382774353,2.85482382774353,2.85482382774353,-53.1622467041016,0.0,1.0,0.0
123.0,12.1327543258667,11.1283740997314,11.747317420111747,-75.53504943847659,0.991,9.0,-0.01
124.0,22.2969951629639,11.4608459472656,24.55926940020393,60.258831248563865,-0.78,17.0,-0.039
125.0,22.2074069976807,13.2428913116455,27.168653770729346,60.956873575846366,-0.693,27.0,-0.019
126.0,10.7206716537476,10.7206716537476,10.7206716537476,-47.8397827148438,0.0,1.0,0.0
127.0,6.67623329162598,6.67623329162598,6.67623329162598,-71.9184417724609,0.0,1.0,0.0
128.0,14.7463779449463,12.2932481765747,18.74420951133551,61.27018844249637,-0.904,43.0,-0.004
129.0,3.24909067153931,3.24909067153931,3.24909067153931,84.6036529541016,0.0,1.0,0.0
130.0,3.35205459594727,3.35205459594727,3.35205459594727,73.1132965087891,0.0,1.0,0.0
131.0,5.61092948913574,5.61092948913574,5.61092948913574,-53.2791595458984,0.0,1.0,0.0
132.0,6.90774393081665,6.90774393081665,6.90774393081665,-70.0531311035156,0.0,1.0,0.0
134.0,22.7699432373047,36.9628028869629,28.86758282979329,-39.17102864583333,-0.626,15.0,0.032
135.0,6.84483432769775,6.84483432769775,6.84483432769775,-67.5183563232422,0.0,1.0,0.0
137.0,13.7748966217041,13.7748966217041,13.7748966217041,60.2893218994141,0.0,1.0,0.0
138.0,10.4686908721924,13.6128988265991,12.108531634012868,46.92165629069013,-0.531,3.0,0.088
