TimeStep,Cell_lable,Orientation,Center_X,Center_Y
18,32,81.2538375854492,231.011535644531,286.575134277344
18,33,75.9637603759766,219.764739990234,301.558868408203
18,34,85.8150863647461,255.8896484375,338.325164794922
18,35,75.9637603759766,295.61767578125,310.970581054688
18,36,25.3461780548096,267.269226074219,194.153854370117
18,37,67.0679016113281,193.113571166992,244.08659362793
18,38,23.1985912322998,288.52587890625,183.439666748047
18,39,74.2488250732422,226.148284912109,263.253021240234
18,40,11.3099327087402,238.673095703125,385.634613037109
18,41,12.5288076400757,246.070571899414,153.182342529297
18,42,79.8244934082031,273.766845703125,238.272583007813
18,43,45,261.500030517578,375.500030517578
18,44,4.51398801803589,227.676910400391,354.592926025391
18,45,77.47119140625,258.370574951172,237.417617797852
18,46,14.036244392395,305.382385253906,265.470611572266
18,47,78.690071105957,245.307693481445,288.538482666016
18,48,82.8749847412109,220.538482666016,166.307693481445
18,49,77.0053787231445,241.182556152344,227.95783996582
18,50,58.6713027954102,194.880706787109,283.768280029297
18,51,15.5241088867188,259.799438476563,141.222076416016
18,52,79.1144714355469,259.407257080078,284.517852783203
18,53,23.6293754577637,282.47705078125,157.052459716797
18,54,73.3007583618164,287.009216308594,229.197280883789
18,55,90,223,191
18,56,78.690071105957,239.057708740234,320.288482666016
18,57,33.6900634765625,282.115356445313,347.576904296875
18,58,33.6900672912598,296.230743408203,352.65380859375
18,59,90,242.5,353.5
19,6,87.1375961303711,275.299255371094,284.485046386719
19,7,65.5560455322266,300.811645507813,218.58561706543
19,8,79.8753280639648,267.901794433594,329.249755859375
19,12,33.6900672912598,275.730743408203,384.153839111328
19,23,24.2277431488037,299.855499267578,260.2099609375
19,24,55.0079803466797,195.204696655273,128.506713867188
19,25,57.9946174621582,186.15168762207,142.842712402344
19,26,18.4349498748779,219.850006103516,125.450004577637
19,27,26.5650501251221,255.500030517578,183.000015258789
19,28,3.94518637657166,205.291748046875,200.520126342773
19,29,63.4349517822266,223.600036621094,222.70002746582
19,30,23.9624900817871,242.211349487305,177.149490356445
19,31,74.6237487792969,212.579879760742,250.790496826172
19,32,87.1375961303711,232.476318359375,286.026214599609
19,33,85.6012878417969,217.855865478516,289.126434326172
19,34,1.12330281734467,253.841857910156,344.065551757813
19,35,81.2538375854492,294.578033447266,311.257202148438
19,36,26.5650501251221,267.399993896484,189.699996948242
19,37,71.0753555297852,191.07926940918,242.272827148438
19,38,21.0375118255615,296.402038574219,161.154647827148
19,39,73.3007583618164,226.389907836914,262.133056640625
19,40,28.07248878479,234.169555664063,394.557098388672
